"Geography","fips","abbreviation","Births_per_year","Total_pop","Scenario","Dose_type","Week_Ending_Sat","Age_in_Weeks_at_receipt","Nirsevimab_weekly_doses","Eligible_babies_entire_season","Weekly_incident_cov"
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-17",0,483,156159.298630137,6.00924830113767
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-17",1,483,156159.298630137,6.00924830113767
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-17",2,483,156159.298630137,6.00924830113767
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-17",3,483,156159.298630137,6.00924830113767
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-17",4,483,156159.298630137,6.00924830113767
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-17",5,483,156159.298630137,6.00924830113767
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-17",6,483,156159.298630137,6.00924830113767
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-17",7,483,156159.298630137,6.00924830113767
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-17",8,483,156159.298630137,6.00924830113767
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-17",9,483,156159.298630137,6.00924830113767
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-17",10,483,156159.298630137,6.00924830113767
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-17",11,483,156159.298630137,6.00924830113767
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-17",12,483,156159.298630137,6.00924830113767
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-17",13,483,156159.298630137,6.00924830113767
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-17",14,483,156159.298630137,6.00924830113767
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-17",15,483,156159.298630137,6.00924830113767
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-17",16,483,156159.298630137,6.00924830113767
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-17",17,483,156159.298630137,6.00924830113767
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-17",18,483,156159.298630137,6.00924830113767
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-24",0,645,156159.298630137,8.0247725760534
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-24",1,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-24",2,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-24",3,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-24",4,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-24",5,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-24",6,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-24",7,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-24",8,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-24",9,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-24",10,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-24",11,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-24",12,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-24",13,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-24",14,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-24",15,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-24",16,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-24",17,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-24",18,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-24",19,483,156159.298630137,6.00924830113767
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-31",1,645,156159.298630137,8.0247725760534
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-31",2,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-31",3,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-31",4,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-31",5,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-31",6,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-31",7,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-31",8,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-31",9,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-31",10,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-31",11,1128,156159.298630137,14.0340208771911
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-31",12,1128,156159.298630137,14.0340208771911
