"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	Births	Total Population	Birth Rate
"Alabama"	"01"	"2016"	"2016"	59151	4863300	12.16
"Alabama"	"01"	"2017"	"2017"	58941	4874747	12.09
"Alabama"	"01"	"2018"	"2018"	57761	4887871	11.82
"Alabama"	"01"	"2019"	"2019"	58615	4903185	11.95
"Alabama"	"01"	"2020"	"2020"	57647	4921532	11.71
"Alabama"	"01"	"2021"	"2021"	58054	5039877	11.52
"Alabama"	"01"	"2022"	"2022"	58149	5074296	11.46
"Alaska"	"02"	"2016"	"2016"	11209	741894	15.11
"Alaska"	"02"	"2017"	"2017"	10445	739795	14.12
"Alaska"	"02"	"2018"	"2018"	10086	737438	13.68
"Alaska"	"02"	"2019"	"2019"	9822	731545	13.43
"Alaska"	"02"	"2020"	"2020"	9469	731158	12.95
"Alaska"	"02"	"2021"	"2021"	9367	732673	12.78
"Alaska"	"02"	"2022"	"2022"	9359	733583	12.76
"Arizona"	"04"	"2016"	"2016"	84520	6931071	12.19
"Arizona"	"04"	"2017"	"2017"	81872	7016270	11.67
"Arizona"	"04"	"2018"	"2018"	80723	7171646	11.26
"Arizona"	"04"	"2019"	"2019"	79375	7278717	10.91
"Arizona"	"04"	"2020"	"2020"	76947	7421401	10.37
"Arizona"	"04"	"2021"	"2021"	77916	7276316	10.71
"Arizona"	"04"	"2022"	"2022"	78547	7359197	10.67
"Arkansas"	"05"	"2016"	"2016"	38274	2988248	12.81
"Arkansas"	"05"	"2017"	"2017"	37520	3004279	12.49
"Arkansas"	"05"	"2018"	"2018"	37018	3013825	12.28
"Arkansas"	"05"	"2019"	"2019"	36564	3017804	12.12
"Arkansas"	"05"	"2020"	"2020"	35251	3030522	11.63
"Arkansas"	"05"	"2021"	"2021"	35965	3025891	11.89
"Arkansas"	"05"	"2022"	"2022"	35471	3045637	11.65
"California"	"06"	"2016"	"2016"	488827	39250017	12.45
"California"	"06"	"2017"	"2017"	471658	39536653	11.93
"California"	"06"	"2018"	"2018"	454920	39557045	11.50
"California"	"06"	"2019"	"2019"	446479	39512223	11.30
"California"	"06"	"2020"	"2020"	420259	39368078	10.68
"California"	"06"	"2021"	"2021"	420608	39237836	10.72
"California"	"06"	"2022"	"2022"	419104	39029342	10.74
"Colorado"	"08"	"2016"	"2016"	66613	5540545	12.02
"Colorado"	"08"	"2017"	"2017"	64382	5607154	11.48
"Colorado"	"08"	"2018"	"2018"	62885	5695564	11.04
"Colorado"	"08"	"2019"	"2019"	62869	5758736	10.92
"Colorado"	"08"	"2020"	"2020"	61494	5807719	10.59
"Colorado"	"08"	"2021"	"2021"	62949	5812069	10.83
"Colorado"	"08"	"2022"	"2022"	62383	5839926	10.68
"Connecticut"	"09"	"2016"	"2016"	36015	3576452	10.07
"Connecticut"	"09"	"2017"	"2017"	35221	3588184	9.82
"Connecticut"	"09"	"2018"	"2018"	34725	3572665	9.72
"Connecticut"	"09"	"2019"	"2019"	34258	3565287	9.61
"Connecticut"	"09"	"2020"	"2020"	33460	3557006	9.41
"Connecticut"	"09"	"2021"	"2021"	35670	3605597	9.89
"Connecticut"	"09"	"2022"	"2022"	35332	3626205	9.74
"Delaware"	"10"	"2016"	"2016"	10992	952065	11.55
"Delaware"	"10"	"2017"	"2017"	10855	961939	11.28
"Delaware"	"10"	"2018"	"2018"	10621	967171	10.98
"Delaware"	"10"	"2019"	"2019"	10562	973764	10.85
"Delaware"	"10"	"2020"	"2020"	10392	986809	10.53
"Delaware"	"10"	"2021"	"2021"	10482	1003384	10.45
"Delaware"	"10"	"2022"	"2022"	10816	1018396	10.62
"District of Columbia"	"11"	"2016"	"2016"	9858	681170	14.47
"District of Columbia"	"11"	"2017"	"2017"	9560	693972	13.78
"District of Columbia"	"11"	"2018"	"2018"	9212	702455	13.11
"District of Columbia"	"11"	"2019"	"2019"	9079	705749	12.86
"District of Columbia"	"11"	"2020"	"2020"	8874	712816	12.45
"District of Columbia"	"11"	"2021"	"2021"	8660	670050	12.92
"District of Columbia"	"11"	"2022"	"2022"	8075	671803	12.02
"Florida"	"12"	"2016"	"2016"	225022	20612439	10.92
"Florida"	"12"	"2017"	"2017"	223630	20984400	10.66
"Florida"	"12"	"2018"	"2018"	221542	21299325	10.40
"Florida"	"12"	"2019"	"2019"	220002	21477737	10.24
"Florida"	"12"	"2020"	"2020"	209671	21733312	9.65
"Florida"	"12"	"2021"	"2021"	216260	21781128	9.93
"Florida"	"12"	"2022"	"2022"	224433	22244823	10.09
"Georgia"	"13"	"2016"	"2016"	130042	10310371	12.61
"Georgia"	"13"	"2017"	"2017"	129243	10429379	12.39
"Georgia"	"13"	"2018"	"2018"	126172	10519475	11.99
"Georgia"	"13"	"2019"	"2019"	126371	10617423	11.90
"Georgia"	"13"	"2020"	"2020"	122473	10710017	11.44
"Georgia"	"13"	"2021"	"2021"	124073	10799566	11.49
"Georgia"	"13"	"2022"	"2022"	126130	10912876	11.56
"Hawaii"	"15"	"2016"	"2016"	18059	1428557	12.64
"Hawaii"	"15"	"2017"	"2017"	17517	1427538	12.27
"Hawaii"	"15"	"2018"	"2018"	16972	1420491	11.95
"Hawaii"	"15"	"2019"	"2019"	16797	1415872	11.86
"Hawaii"	"15"	"2020"	"2020"	15785	1407006	11.22
"Hawaii"	"15"	"2021"	"2021"	15620	1441553	10.84
"Hawaii"	"15"	"2022"	"2022"	15535	1440196	10.79
"Idaho"	"16"	"2016"	"2016"	22482	1683140	13.36
"Idaho"	"16"	"2017"	"2017"	22181	1716943	12.92
"Idaho"	"16"	"2018"	"2018"	21403	1754208	12.20
"Idaho"	"16"	"2019"	"2019"	22063	1787065	12.35
"Idaho"	"16"	"2020"	"2020"	21533	1826913	11.79
"Idaho"	"16"	"2021"	"2021"	22427	1900923	11.80
"Idaho"	"16"	"2022"	"2022"	22391	1939033	11.55
"Illinois"	"17"	"2016"	"2016"	154445	12801539	12.06
"Illinois"	"17"	"2017"	"2017"	149390	12802023	11.67
"Illinois"	"17"	"2018"	"2018"	144815	12741080	11.37
"Illinois"	"17"	"2019"	"2019"	140128	12671821	11.06
"Illinois"	"17"	"2020"	"2020"	133298	12587530	10.59
"Illinois"	"17"	"2021"	"2021"	132189	12671469	10.43
"Illinois"	"17"	"2022"	"2022"	128350	12582032	10.20
"Indiana"	"18"	"2016"	"2016"	83091	6633053	12.53
"Indiana"	"18"	"2017"	"2017"	82170	6666818	12.33
"Indiana"	"18"	"2018"	"2018"	81646	6691878	12.20
"Indiana"	"18"	"2019"	"2019"	80859	6732219	12.01
"Indiana"	"18"	"2020"	"2020"	78616	6754953	11.64
"Indiana"	"18"	"2021"	"2021"	79946	6805985	11.75
"Indiana"	"18"	"2022"	"2022"	79649	6833037	11.66
"Iowa"	"19"	"2016"	"2016"	39403	3134693	12.57
"Iowa"	"19"	"2017"	"2017"	38430	3145711	12.22
"Iowa"	"19"	"2018"	"2018"	37785	3156145	11.97
"Iowa"	"19"	"2019"	"2019"	37649	3155070	11.93
"Iowa"	"19"	"2020"	"2020"	36114	3163561	11.42
"Iowa"	"19"	"2021"	"2021"	36835	3193079	11.54
"Iowa"	"19"	"2022"	"2022"	36506	3200517	11.41
"Kansas"	"20"	"2016"	"2016"	38053	2907289	13.09
"Kansas"	"20"	"2017"	"2017"	36519	2913123	12.54
"Kansas"	"20"	"2018"	"2018"	36261	2911505	12.45
"Kansas"	"20"	"2019"	"2019"	35395	2913314	12.15
"Kansas"	"20"	"2020"	"2020"	34376	2913805	11.80
"Kansas"	"20"	"2021"	"2021"	34705	2934582	11.83
"Kansas"	"20"	"2022"	"2022"	34401	2937150	11.71
"Kentucky"	"21"	"2016"	"2016"	55449	4436974	12.50
"Kentucky"	"21"	"2017"	"2017"	54752	4454189	12.29
"Kentucky"	"21"	"2018"	"2018"	53922	4468402	12.07
"Kentucky"	"21"	"2019"	"2019"	53069	4467673	11.88
"Kentucky"	"21"	"2020"	"2020"	51668	4477251	11.54
"Kentucky"	"21"	"2021"	"2021"	52214	4509394	11.58
"Kentucky"	"21"	"2022"	"2022"	52315	4512310	11.59
"Louisiana"	"22"	"2016"	"2016"	63178	4681666	13.49
"Louisiana"	"22"	"2017"	"2017"	61018	4684333	13.03
"Louisiana"	"22"	"2018"	"2018"	59615	4659978	12.79
"Louisiana"	"22"	"2019"	"2019"	58941	4648794	12.68
"Louisiana"	"22"	"2020"	"2020"	57328	4645318	12.34
"Louisiana"	"22"	"2021"	"2021"	57437	4624047	12.42
"Louisiana"	"22"	"2022"	"2022"	56479	4590241	12.30
"Maine"	"23"	"2016"	"2016"	12705	1331479	9.54
"Maine"	"23"	"2017"	"2017"	12298	1335907	9.21
"Maine"	"23"	"2018"	"2018"	12311	1338404	9.20
"Maine"	"23"	"2019"	"2019"	11779	1344212	8.76
"Maine"	"23"	"2020"	"2020"	11539	1350141	8.55
"Maine"	"23"	"2021"	"2021"	12006	1372247	8.75
"Maine"	"23"	"2022"	"2022"	12093	1385340	8.73
"Maryland"	"24"	"2016"	"2016"	73136	6016447	12.16
"Maryland"	"24"	"2017"	"2017"	71641	6052177	11.84
"Maryland"	"24"	"2018"	"2018"	71080	6042718	11.76
"Maryland"	"24"	"2019"	"2019"	70178	6045680	11.61
"Maryland"	"24"	"2020"	"2020"	68554	6055802	11.32
"Maryland"	"24"	"2021"	"2021"	68285	6165129	11.08
"Maryland"	"24"	"2022"	"2022"	68782	6164660	11.16
"Massachusetts"	"25"	"2016"	"2016"	71317	6811779	10.47
"Massachusetts"	"25"	"2017"	"2017"	70702	6859819	10.31
"Massachusetts"	"25"	"2018"	"2018"	69109	6902149	10.01
"Massachusetts"	"25"	"2019"	"2019"	69117	6892503	10.03
"Massachusetts"	"25"	"2020"	"2020"	66428	6893574	9.64
"Massachusetts"	"25"	"2021"	"2021"	69137	6984723	9.90
"Massachusetts"	"25"	"2022"	"2022"	68584	6981974	9.82
"Michigan"	"26"	"2016"	"2016"	113315	9928300	11.41
"Michigan"	"26"	"2017"	"2017"	111426	9962311	11.18
"Michigan"	"26"	"2018"	"2018"	110032	9995915	11.01
"Michigan"	"26"	"2019"	"2019"	107886	9986857	10.80
"Michigan"	"26"	"2020"	"2020"	104074	9966555	10.44
"Michigan"	"26"	"2021"	"2021"	104980	10050811	10.44
"Michigan"	"26"	"2022"	"2022"	102321	10034113	10.20
"Minnesota"	"27"	"2016"	"2016"	69749	5519952	12.64
"Minnesota"	"27"	"2017"	"2017"	68595	5576606	12.30
"Minnesota"	"27"	"2018"	"2018"	67344	5611179	12.00
"Minnesota"	"27"	"2019"	"2019"	66027	5639632	11.71
"Minnesota"	"27"	"2020"	"2020"	63443	5657342	11.21
"Minnesota"	"27"	"2021"	"2021"	64425	5707390	11.29
"Minnesota"	"27"	"2022"	"2022"	64015	5717184	11.20
"Mississippi"	"28"	"2016"	"2016"	37928	2988726	12.69
"Mississippi"	"28"	"2017"	"2017"	37357	2984100	12.52
"Mississippi"	"28"	"2018"	"2018"	37000	2986530	12.39
"Mississippi"	"28"	"2019"	"2019"	36636	2976149	12.31
"Mississippi"	"28"	"2020"	"2020"	35473	2966786	11.96
"Mississippi"	"28"	"2021"	"2021"	35156	2949965	11.92
"Mississippi"	"28"	"2022"	"2022"	34675	2940057	11.79
"Missouri"	"29"	"2016"	"2016"	74705	6093000	12.26
"Missouri"	"29"	"2017"	"2017"	73034	6113532	11.95
"Missouri"	"29"	"2018"	"2018"	73269	6126452	11.96
"Missouri"	"29"	"2019"	"2019"	72127	6137428	11.75
"Missouri"	"29"	"2020"	"2020"	69285	6151548	11.26
"Missouri"	"29"	"2021"	"2021"	69453	6168187	11.26
"Missouri"	"29"	"2022"	"2022"	68985	6177957	11.17
"Montana"	"30"	"2016"	"2016"	12282	1042520	11.78
"Montana"	"30"	"2017"	"2017"	11799	1050493	11.23
"Montana"	"30"	"2018"	"2018"	11513	1062305	10.84
"Montana"	"30"	"2019"	"2019"	11079	1068778	10.37
"Montana"	"30"	"2020"	"2020"	10791	1080577	9.99
"Montana"	"30"	"2021"	"2021"	11231	1104271	10.17
"Montana"	"30"	"2022"	"2022"	11175	1122867	9.95
"Nebraska"	"31"	"2016"	"2016"	26589	1907116	13.94
"Nebraska"	"31"	"2017"	"2017"	25821	1920076	13.45
"Nebraska"	"31"	"2018"	"2018"	25488	1929268	13.21
"Nebraska"	"31"	"2019"	"2019"	24755	1934408	12.80
"Nebraska"	"31"	"2020"	"2020"	24291	1937552	12.54
"Nebraska"	"31"	"2021"	"2021"	24609	1963692	12.53
"Nebraska"	"31"	"2022"	"2022"	24345	1967923	12.37
"Nevada"	"32"	"2016"	"2016"	36260	2940058	12.33
"Nevada"	"32"	"2017"	"2017"	35756	2998039	11.93
"Nevada"	"32"	"2018"	"2018"	35682	3034392	11.76
