"State"	"State Code"	"Year"	"Year Code"	Births
"Alabama"	"01"	"1995"	"1995"	60329
"Alabama"	"01"	"1996"	"1996"	60488
"Alabama"	"01"	"1997"	"1997"	60914
"Alabama"	"01"	"1998"	"1998"	62074
"Alabama"	"01"	"1999"	"1999"	62122
"Alabama"	"01"	"2000"	"2000"	63299
"Alabama"	"01"	"2001"	"2001"	60454
"Alabama"	"01"	"2002"	"2002"	58967
"Alaska"	"02"	"1995"	"1995"	10244
"Alaska"	"02"	"1996"	"1996"	10037
"Alaska"	"02"	"1997"	"1997"	9947
"Alaska"	"02"	"1998"	"1998"	9926
"Alaska"	"02"	"1999"	"1999"	9950
"Alaska"	"02"	"2000"	"2000"	9974
"Alaska"	"02"	"2001"	"2001"	10003
"Alaska"	"02"	"2002"	"2002"	9938
"Arizona"	"04"	"1995"	"1995"	72463
"Arizona"	"04"	"1996"	"1996"	75322
"Arizona"	"04"	"1997"	"1997"	75699
"Arizona"	"04"	"1998"	"1998"	78243
"Arizona"	"04"	"1999"	"1999"	81145
"Arizona"	"04"	"2000"	"2000"	85273
"Arizona"	"04"	"2001"	"2001"	85597
"Arizona"	"04"	"2002"	"2002"	87837
"Arkansas"	"05"	"1995"	"1995"	35175
"Arkansas"	"05"	"1996"	"1996"	36371
"Arkansas"	"05"	"1997"	"1997"	36478
"Arkansas"	"05"	"1998"	"1998"	36865
"Arkansas"	"05"	"1999"	"1999"	36729
"Arkansas"	"05"	"2000"	"2000"	37783
"Arkansas"	"05"	"2001"	"2001"	37010
"Arkansas"	"05"	"2002"	"2002"	37437
"California"	"06"	"1995"	"1995"	552045
"California"	"06"	"1996"	"1996"	539433
"California"	"06"	"1997"	"1997"	524840
"California"	"06"	"1998"	"1998"	521661
"California"	"06"	"1999"	"1999"	518508
"California"	"06"	"2000"	"2000"	531959
"California"	"06"	"2001"	"2001"	527759
"California"	"06"	"2002"	"2002"	529357
"Colorado"	"08"	"1995"	"1995"	54332
"Colorado"	"08"	"1996"	"1996"	55807
"Colorado"	"08"	"1997"	"1997"	56533
"Colorado"	"08"	"1998"	"1998"	59577
"Colorado"	"08"	"1999"	"1999"	62167
"Colorado"	"08"	"2000"	"2000"	65438
"Colorado"	"08"	"2001"	"2001"	67007
"Colorado"	"08"	"2002"	"2002"	68418
"Connecticut"	"09"	"1995"	"1995"	44334
"Connecticut"	"09"	"1996"	"1996"	44469
"Connecticut"	"09"	"1997"	"1997"	43109
"Connecticut"	"09"	"1998"	"1998"	43820
"Connecticut"	"09"	"1999"	"1999"	43310
"Connecticut"	"09"	"2000"	"2000"	43026
"Connecticut"	"09"	"2001"	"2001"	42648
"Connecticut"	"09"	"2002"	"2002"	42001
