"State"	"State Code"	"Year"	"Year Code"	Births	Total Population	Birth Rate
"Alabama"	"01"	"2007"	"2007"	64804	4672840	13.87
"Alabama"	"01"	"2008"	"2008"	64546	4718206	13.68
"Alabama"	"01"	"2009"	"2009"	62475	4757938	13.13
"Alabama"	"01"	"2010"	"2010"	60050	4779736	12.56
"Alabama"	"01"	"2011"	"2011"	59354	4802740	12.36
"Alabama"	"01"	"2012"	"2012"	58448	4822023	12.12
"Alabama"	"01"	"2013"	"2013"	58167	4833722	12.03
"Alabama"	"01"	"2014"	"2014"	59422	4849377	12.25
"Alabama"	"01"	"2015"	"2015"	59657	4858979	12.28
"Alabama"	"01"	"2016"	"2016"	59151	4863300	12.16
"Alabama"	"01"	"2017"	"2017"	58941	4874747	12.09
"Alabama"	"01"	"2018"	"2018"	57761	4887871	11.82
"Alabama"	"01"	"2019"	"2019"	58615	4903185	11.95
"Alabama"	"01"	"2020"	"2020"	57647	4921532	11.71
"Alabama"	"01"	"2021"	"2021"	58054	Not Available	Not Available
"Alabama"	"01"	"2022"	"2022"	58149	Not Available	Not Available
"Alaska"	"02"	"2007"	"2007"	11052	680300	16.25
"Alaska"	"02"	"2008"	"2008"	11442	687455	16.64
"Alaska"	"02"	"2009"	"2009"	11324	698895	16.20
"Alaska"	"02"	"2010"	"2010"	11471	710231	16.15
"Alaska"	"02"	"2011"	"2011"	11456	722718	15.85
"Alaska"	"02"	"2012"	"2012"	11187	731449	15.29
"Alaska"	"02"	"2013"	"2013"	11446	735132	15.57
"Alaska"	"02"	"2014"	"2014"	11392	736732	15.46
"Alaska"	"02"	"2015"	"2015"	11282	738432	15.28
"Alaska"	"02"	"2016"	"2016"	11209	741894	15.11
"Alaska"	"02"	"2017"	"2017"	10445	739795	14.12
"Alaska"	"02"	"2018"	"2018"	10086	737438	13.68
"Alaska"	"02"	"2019"	"2019"	9822	731545	13.43
"Alaska"	"02"	"2020"	"2020"	9469	731158	12.95
"Alaska"	"02"	"2021"	"2021"	9367	Not Available	Not Available
"Alaska"	"02"	"2022"	"2022"	9359	Not Available	Not Available
"Arizona"	"04"	"2007"	"2007"	102981	6167681	16.70
"Arizona"	"04"	"2008"	"2008"	99442	6280362	15.83
"Arizona"	"04"	"2009"	"2009"	92798	6343154	14.63
"Arizona"	"04"	"2010"	"2010"	87477	6392017	13.69
"Arizona"	"04"	"2011"	"2011"	85543	6482505	13.20
"Arizona"	"04"	"2012"	"2012"	86441	6553255	13.19
"Arizona"	"04"	"2013"	"2013"	85600	6626624	12.92
"Arizona"	"04"	"2014"	"2014"	86887	6731484	12.91
"Arizona"	"04"	"2015"	"2015"	85351	6828065	12.50
"Arizona"	"04"	"2016"	"2016"	84520	6931071	12.19
"Arizona"	"04"	"2017"	"2017"	81872	7016270	11.67
"Arizona"	"04"	"2018"	"2018"	80723	7171646	11.26
"Arizona"	"04"	"2019"	"2019"	79375	7278717	10.91
"Arizona"	"04"	"2020"	"2020"	76947	7421401	10.37
"Arizona"	"04"	"2021"	"2021"	77916	Not Available	Not Available
"Arizona"	"04"	"2022"	"2022"	78547	Not Available	Not Available
"Arkansas"	"05"	"2007"	"2007"	41378	2848650	14.53
"Arkansas"	"05"	"2008"	"2008"	40669	2874554	14.15
"Arkansas"	"05"	"2009"	"2009"	39808	2896843	13.74
"Arkansas"	"05"	"2010"	"2010"	38540	2915918	13.22
"Arkansas"	"05"	"2011"	"2011"	38715	2937979	13.18
"Arkansas"	"05"	"2012"	"2012"	38347	2949131	13.00
"Arkansas"	"05"	"2013"	"2013"	37832	2959373	12.78
"Arkansas"	"05"	"2014"	"2014"	38511	2966369	12.98
"Arkansas"	"05"	"2015"	"2015"	38886	2978204	13.06
"Arkansas"	"05"	"2016"	"2016"	38274	2988248	12.81
"Arkansas"	"05"	"2017"	"2017"	37520	3004279	12.49
"Arkansas"	"05"	"2018"	"2018"	37018	3013825	12.28
"Arkansas"	"05"	"2019"	"2019"	36564	3017804	12.12
"Arkansas"	"05"	"2020"	"2020"	35251	3030522	11.63
"Arkansas"	"05"	"2021"	"2021"	35965	Not Available	Not Available
"Arkansas"	"05"	"2022"	"2022"	35471	Not Available	Not Available
"California"	"06"	"2007"	"2007"	566414	36250311	15.63
"California"	"06"	"2008"	"2008"	551779	36604337	15.07
"California"	"06"	"2009"	"2009"	527020	36961229	14.26
"California"	"06"	"2010"	"2010"	510198	37253956	13.70
"California"	"06"	"2011"	"2011"	502120	37691912	13.32
"California"	"06"	"2012"	"2012"	503755	38041430	13.24
"California"	"06"	"2013"	"2013"	494705	38332521	12.91
"California"	"06"	"2014"	"2014"	502879	38802500	12.96
"California"	"06"	"2015"	"2015"	491748	39144818	12.56
"California"	"06"	"2016"	"2016"	488827	39250017	12.45
"California"	"06"	"2017"	"2017"	471658	39536653	11.93
"California"	"06"	"2018"	"2018"	454920	39557045	11.50
"California"	"06"	"2019"	"2019"	446479	39512223	11.30
"California"	"06"	"2020"	"2020"	420259	39368078	10.68
"California"	"06"	"2021"	"2021"	420608	Not Available	Not Available
"California"	"06"	"2022"	"2022"	419104	Not Available	Not Available
"Colorado"	"08"	"2007"	"2007"	70809	4803868	14.74
"Colorado"	"08"	"2008"	"2008"	70031	4889730	14.32
"Colorado"	"08"	"2009"	"2009"	68628	4972195	13.80
"Colorado"	"08"	"2010"	"2010"	66355	5029196	13.19
"Colorado"	"08"	"2011"	"2011"	65055	5116796	12.71
"Colorado"	"08"	"2012"	"2012"	65187	5187582	12.57
"Colorado"	"08"	"2013"	"2013"	65007	5268367	12.34
"Colorado"	"08"	"2014"	"2014"	65830	5355866	12.29
"Colorado"	"08"	"2015"	"2015"	66581	5456574	12.20
"Colorado"	"08"	"2016"	"2016"	66613	5540545	12.02
"Colorado"	"08"	"2017"	"2017"	64382	5607154	11.48
"Colorado"	"08"	"2018"	"2018"	62885	5695564	11.04
"Colorado"	"08"	"2019"	"2019"	62869	5758736	10.92
"Colorado"	"08"	"2020"	"2020"	61494	5807719	10.59
"Colorado"	"08"	"2021"	"2021"	62949	Not Available	Not Available
"Colorado"	"08"	"2022"	"2022"	62383	Not Available	Not Available
"Connecticut"	"09"	"2007"	"2007"	41660	3527270	11.81
"Connecticut"	"09"	"2008"	"2008"	40399	3545579	11.39
"Connecticut"	"09"	"2009"	"2009"	38896	3561807	10.92
"Connecticut"	"09"	"2010"	"2010"	37708	3574097	10.55
"Connecticut"	"09"	"2011"	"2011"	37281	3580709	10.41
"Connecticut"	"09"	"2012"	"2012"	36539	3590347	10.18
"Connecticut"	"09"	"2013"	"2013"	36085	3596080	10.03
"Connecticut"	"09"	"2014"	"2014"	36285	3596677	10.09
"Connecticut"	"09"	"2015"	"2015"	35746	3590886	9.95
"Connecticut"	"09"	"2016"	"2016"	36015	3576452	10.07
"Connecticut"	"09"	"2017"	"2017"	35221	3588184	9.82
"Connecticut"	"09"	"2018"	"2018"	34725	3572665	9.72
"Connecticut"	"09"	"2019"	"2019"	34258	3565287	9.61
"Connecticut"	"09"	"2020"	"2020"	33460	3557006	9.41
"Connecticut"	"09"	"2021"	"2021"	35670	Not Available	Not Available
"Connecticut"	"09"	"2022"	"2022"	35332	Not Available	Not Available
"Delaware"	"10"	"2007"	"2007"	12170	871749	13.96
"Delaware"	"10"	"2008"	"2008"	12090	883874	13.68
"Delaware"	"10"	"2009"	"2009"	11559	891730	12.96
"Delaware"	"10"	"2010"	"2010"	11364	897934	12.66
"Delaware"	"10"	"2011"	"2011"	11257	907135	12.41
"Delaware"	"10"	"2012"	"2012"	11023	917092	12.02
"Delaware"	"10"	"2013"	"2013"	10831	925749	11.70
"Delaware"	"10"	"2014"	"2014"	10972	935614	11.73
"Delaware"	"10"	"2015"	"2015"	11166	945934	11.80
"Delaware"	"10"	"2016"	"2016"	10992	952065	11.55
"Delaware"	"10"	"2017"	"2017"	10855	961939	11.28
"Delaware"	"10"	"2018"	"2018"	10621	967171	10.98
"Delaware"	"10"	"2019"	"2019"	10562	973764	10.85
"Delaware"	"10"	"2020"	"2020"	10392	986809	10.53
"Delaware"	"10"	"2021"	"2021"	10482	Not Available	Not Available
"Delaware"	"10"	"2022"	"2022"	10816	Not Available	Not Available
"District of Columbia"	"11"	"2007"	"2007"	8864	574404	15.43
"District of Columbia"	"11"	"2008"	"2008"	9130	580236	15.73
"District of Columbia"	"11"	"2009"	"2009"	9040	592228	15.26
"District of Columbia"	"11"	"2010"	"2010"	9165	601723	15.23
"District of Columbia"	"11"	"2011"	"2011"	9295	617996	15.04
"District of Columbia"	"11"	"2012"	"2012"	9399	632323	14.86
"District of Columbia"	"11"	"2013"	"2013"	9288	646449	14.37
"District of Columbia"	"11"	"2014"	"2014"	9509	658893	14.43
"District of Columbia"	"11"	"2015"	"2015"	9578	672228	14.25
"District of Columbia"	"11"	"2016"	"2016"	9858	681170	14.47
"District of Columbia"	"11"	"2017"	"2017"	9560	693972	13.78
"District of Columbia"	"11"	"2018"	"2018"	9212	702455	13.11
"District of Columbia"	"11"	"2019"	"2019"	9079	705749	12.86
"District of Columbia"	"11"	"2020"	"2020"	8874	712816	12.45
"District of Columbia"	"11"	"2021"	"2021"	8660	Not Available	Not Available
"District of Columbia"	"11"	"2022"	"2022"	8075	Not Available	Not Available
"Florida"	"12"	"2007"	"2007"	239165	18367842	13.02
"Florida"	"12"	"2008"	"2008"	231445	18527305	12.49
"Florida"	"12"	"2009"	"2009"	221394	18652644	11.87
"Florida"	"12"	"2010"	"2010"	214590	18801310	11.41
"Florida"	"12"	"2011"	"2011"	213414	19057542	11.20
"Florida"	"12"	"2012"	"2012"	213148	19317568	11.03
"Florida"	"12"	"2013"	"2013"	215407	19552860	11.02
"Florida"	"12"	"2014"	"2014"	219991	19893297	11.06
"Florida"	"12"	"2015"	"2015"	224269	20271272	11.06
"Florida"	"12"	"2016"	"2016"	225022	20612439	10.92
"Florida"	"12"	"2017"	"2017"	223630	20984400	10.66
"Florida"	"12"	"2018"	"2018"	221542	21299325	10.40
"Florida"	"12"	"2019"	"2019"	220002	21477737	10.24
"Florida"	"12"	"2020"	"2020"	209671	21733312	9.65
"Florida"	"12"	"2021"	"2021"	216260	Not Available	Not Available
"Florida"	"12"	"2022"	"2022"	224433	Not Available	Not Available
"Georgia"	"13"	"2007"	"2007"	151137	9349988	16.16
"Georgia"	"13"	"2008"	"2008"	146603	9504843	15.42
"Georgia"	"13"	"2009"	"2009"	141377	9620846	14.69
"Georgia"	"13"	"2010"	"2010"	133947	9687653	13.83
"Georgia"	"13"	"2011"	"2011"	132409	9815210	13.49
"Georgia"	"13"	"2012"	"2012"	130280	9919945	13.13
"Georgia"	"13"	"2013"	"2013"	128748	9992167	12.88
"Georgia"	"13"	"2014"	"2014"	130946	10097343	12.97
"Georgia"	"13"	"2015"	"2015"	131404	10214860	12.86
"Georgia"	"13"	"2016"	"2016"	130042	10310371	12.61
"Georgia"	"13"	"2017"	"2017"	129243	10429379	12.39
"Georgia"	"13"	"2018"	"2018"	126172	10519475	11.99
"Georgia"	"13"	"2019"	"2019"	126371	10617423	11.90
"Georgia"	"13"	"2020"	"2020"	122473	10710017	11.44
"Georgia"	"13"	"2021"	"2021"	124073	Not Available	Not Available
"Georgia"	"13"	"2022"	"2022"	126130	Not Available	Not Available
"Hawaii"	"15"	"2007"	"2007"	19134	1315675	14.54
"Hawaii"	"15"	"2008"	"2008"	19484	1332213	14.63
"Hawaii"	"15"	"2009"	"2009"	18887	1346717	14.02
"Hawaii"	"15"	"2010"	"2010"	18988	1360301	13.96
"Hawaii"	"15"	"2011"	"2011"	18956	1374810	13.79
"Hawaii"	"15"	"2012"	"2012"	18980	1392313	13.63
"Hawaii"	"15"	"2013"	"2013"	18987	1404054	13.52
"Hawaii"	"15"	"2014"	"2014"	18550	1419561	13.07
"Hawaii"	"15"	"2015"	"2015"	18420	1431603	12.87
"Hawaii"	"15"	"2016"	"2016"	18059	1428557	12.64
"Hawaii"	"15"	"2017"	"2017"	17517	1427538	12.27
"Hawaii"	"15"	"2018"	"2018"	16972	1420491	11.95
"Hawaii"	"15"	"2019"	"2019"	16797	1415872	11.86
"Hawaii"	"15"	"2020"	"2020"	15785	1407006	11.22
"Hawaii"	"15"	"2021"	"2021"	15620	Not Available	Not Available
"Hawaii"	"15"	"2022"	"2022"	15535	Not Available	Not Available
"Idaho"	"16"	"2007"	"2007"	25019	1505105	16.62
"Idaho"	"16"	"2008"	"2008"	25149	1534320	16.39
"Idaho"	"16"	"2009"	"2009"	23737	1554439	15.27
"Idaho"	"16"	"2010"	"2010"	23198	1567582	14.80
"Idaho"	"16"	"2011"	"2011"	22305	1584985	14.07
"Idaho"	"16"	"2012"	"2012"	22963	1595728	14.39
"Idaho"	"16"	"2013"	"2013"	22383	1612136	13.88
"Idaho"	"16"	"2014"	"2014"	22876	1634464	14.00
"Idaho"	"16"	"2015"	"2015"	22827	1654930	13.79
"Idaho"	"16"	"2016"	"2016"	22482	1683140	13.36
"Idaho"	"16"	"2017"	"2017"	22181	1716943	12.92
