repweekdate,antigen_detections,pcr_detections,as_of
2021-10-02,503,4639,2023-10-03
2021-10-09,516,4654,2023-10-06
2021-10-16,460,4006,2023-10-13
2021-10-23,420,4194,2023-10-13
2021-10-30,391,3871,2023-10-13
2021-11-06,329,4183,2023-10-13
2021-11-13,328,4174,2023-10-13
2021-11-20,286,4382,2023-10-13
2021-11-27,250,4118,2023-10-13
2021-12-04,285,4408,2023-10-13
2021-12-11,272,4481,2023-10-13
2021-12-18,220,4285,2023-10-13
2021-12-25,263,4077,2023-10-13
2022-01-01,226,3488,2023-10-13
2022-01-08,166,3372,2023-10-13
2022-01-15,136,1970,2023-10-13
2022-01-22,94,1416,2023-10-13
2022-01-29,64,947,2023-10-13
2022-02-05,60,747,2023-10-13
2022-02-12,51,633,2023-10-13
2022-02-19,62,575,2023-10-13
2022-02-26,62,498,2023-10-13
2022-03-05,54,453,2023-10-13
2022-03-12,35,519,2023-10-13
2022-03-19,40,479,2023-10-13
2022-03-26,48,458,2023-10-13
2022-04-02,51,466,2023-10-13
2022-04-09,56,509,2023-10-13
2022-04-16,69,530,2023-10-13
2022-04-23,65,570,2023-10-13
2022-04-30,78,737,2023-10-13
2022-05-07,88,753,2023-10-13
2022-05-14,128,999,2023-10-13
2022-05-21,167,1094,2023-10-13
2022-05-28,188,1223,2023-10-13
2022-06-04,210,1507,2023-10-13
2022-06-11,263,1559,2023-10-13
2022-06-18,249,1520,2023-10-13
2022-06-25,271,1450,2023-10-13
2022-07-02,246,1432,2023-10-13
2022-07-09,161,1435,2023-10-13
2022-07-16,139,1297,2023-10-13
2022-07-23,157,1474,2023-10-13
2022-07-30,187,1311,2023-10-13
2022-08-06,119,1258,2023-10-13
2022-08-13,140,1310,2023-10-13
2022-08-20,180,1312,2023-10-13
2022-08-27,186,1634,2023-10-13
2022-09-03,278,1953,2023-10-13
2022-09-10,271,2508,2023-10-13
2022-09-17,380,3148,2023-10-13
2022-09-24,471,4383,2023-10-13
2022-10-01,553,5476,2023-10-13
2022-10-08,609,6993,2023-10-13
2022-10-15,711,9012,2023-10-13
2022-10-22,820,11413,2023-10-13
2022-10-29,987,14985,2023-10-13
2022-11-05,1104,18421,2023-10-13
2022-11-12,1226,20196,2023-10-13
2022-11-19,1100,19159,2023-10-13
2022-11-26,927,15655,2023-10-13
2022-12-03,791,14532,2023-10-13
2022-12-10,645,10551,2023-10-13
2022-12-17,538,8534,2023-10-13
2022-12-24,417,6052,2023-10-13
2022-12-31,367,5282,2023-10-13
2023-01-07,246,4412,2023-10-13
2023-01-14,180,3234,2023-10-13
2023-01-21,136,2399,2023-10-13
2023-01-28,148,1813,2023-10-13
2023-02-04,152,1577,2023-10-13
2023-02-11,137,1292,2023-10-13
2023-02-18,120,1098,2023-10-13
2023-02-25,102,907,2023-10-13
2023-03-04,77,801,2023-10-13
2023-03-11,64,660,2023-10-13
2023-03-18,64,569,2023-10-13
2023-03-25,50,492,2023-10-13
2023-04-01,42,416,2023-10-13
2023-04-08,42,335,2023-10-13
2023-04-15,34,261,2023-10-13
2023-04-22,24,232,2023-10-13
2023-04-29,24,197,2023-10-13
2023-05-06,28,175,2023-10-13
2023-05-13,17,186,2023-10-13
2023-05-20,21,169,2023-10-13
2023-05-27,25,139,2023-10-13
2023-06-03,28,174,2023-10-13
2023-06-10,25,145,2023-10-13
2023-06-17,24,125,2023-10-13
2023-06-24,18,158,2023-10-13
2023-07-01,20,147,2023-10-13
2023-07-08,27,134,2023-10-13
2023-07-15,17,148,2023-10-13
2023-07-22,17,183,2023-10-13
2023-07-29,23,198,2023-10-13
2023-08-05,26,225,2023-10-13
2023-08-12,40,229,2023-10-13
2023-08-19,41,237,2023-10-13
2023-08-26,71,426,2023-10-13
2023-09-02,83,429,2023-10-13
2023-09-09,119,555,2023-10-13
2023-09-16,101,633,2023-10-13
2023-09-23,163,984,2023-10-13
2023-09-30,188,950,2023-10-13
2023-10-07,68,1281,2023-10-13
