repweekdate,stateid,percent_positive,total_antigen_detection_tests,as_of
2021-10-02,AL,7.604,28.0,2023-10-03
2021-10-02,AK,0.0,0.0,2023-10-03
2021-10-02,AZ,0.0,0.0,2023-10-03
2021-10-02,AR,26.561,0.0,2023-10-03
2021-10-02,CA,9.861,145.333,2023-10-03
2021-10-02,CO,0.0,0.0,2023-10-03
2021-10-02,CT,0.0,0.0,2023-10-03
2021-10-02,DE,0.0,0.0,2023-10-03
2021-10-02,DC,0.0,0.0,2023-10-03
2021-10-02,FL,12.496,491.333,2023-10-03
2021-10-02,GA,3.216,2049.667,2023-10-03
2021-10-02,HI,0.0,0.0,2023-10-03
2021-10-02,ID,0.0,2.667,2023-10-03
2021-10-02,IL,29.762,0.0,2023-10-03
2021-10-02,IN,1.852,0.0,2023-10-03
2021-10-02,IA,42.524,52.667,2023-10-03
2021-10-02,KS,37.64,0.0,2023-10-03
2021-10-02,KY,0.0,0.0,2023-10-03
2021-10-02,LA,6.816,0.0,2023-10-03
2021-10-02,ME,0.0,0.0,2023-10-03
2021-10-02,MD,6.667,0.0,2023-10-03
2021-10-02,MA,0.0,0.0,2023-10-03
2021-10-02,MI,15.572,90.0,2023-10-03
2021-10-02,MN,19.136,26.0,2023-10-03
2021-10-02,MS,9.444,0.0,2023-10-03
2021-10-02,MO,36.389,141.667,2023-10-03
2021-10-02,MT,0.0,0.0,2023-10-03
2021-10-02,NE,0.0,4.667,2023-10-03
2021-10-02,NV,0.0,0.0,2023-10-03
2021-10-02,NH,0.0,0.0,2023-10-03
2021-10-02,NJ,0.0,3.333,2023-10-03
2021-10-02,NM,0.0,0.0,2023-10-03
2021-10-02,NY,0.0,0.0,2023-10-03
2021-10-02,NC,12.052,0.0,2023-10-03
2021-10-02,ND,0.0,0.0,2023-10-03
2021-10-02,OH,35.384,300.333,2023-10-03
2021-10-02,OK,0.0,0.0,2023-10-03
2021-10-02,OR,11.833,22.0,2023-10-03
2021-10-02,PA,0.0,5.0,2023-10-03
2021-10-02,RI,0.0,0.0,2023-10-03
2021-10-02,SC,12.787,0.0,2023-10-03
2021-10-02,SD,0.0,0.0,2023-10-03
2021-10-02,TN,13.19,81.0,2023-10-03
2021-10-02,TX,10.823,335.0,2023-10-03
2021-10-02,UT,0.0,0.0,2023-10-03
2021-10-02,VT,0.0,0.0,2023-10-03
2021-10-02,VA,5.412,0.0,2023-10-03
2021-10-02,WA,17.269,47.0,2023-10-03
2021-10-02,WV,15.278,6.667,2023-10-03
2021-10-02,WI,41.418,164.0,2023-10-03
2021-10-02,WY,0.0,0.0,2023-10-03
2021-10-09,AL,10.47,25.333,2023-10-13
2021-10-16,AL,9.402,24.667,2023-10-13
2021-10-09,AK,0.0,0.0,2023-10-13
2021-10-16,AK,0.0,0.0,2023-10-13
2021-10-09,AZ,0.0,0.0,2023-10-13
2021-10-16,AZ,0.0,0.0,2023-10-13
2021-10-09,AR,26.561,0.0,2023-10-13
2021-10-16,AR,19.894,0.0,2023-10-13
2021-10-09,CA,8.508,144.333,2023-10-13
2021-10-16,CA,8.761,147.0,2023-10-13
2021-10-09,CO,0.0,0.0,2023-10-13
2021-10-16,CO,0.0,0.0,2023-10-13
2021-10-09,CT,0.0,0.0,2023-10-13
2021-10-16,CT,0.0,0.0,2023-10-13
2021-10-09,DE,0.0,0.0,2023-10-13
2021-10-16,DE,0.0,0.0,2023-10-13
2021-10-09,DC,0.0,0.0,2023-10-13
2021-10-16,DC,0.0,0.0,2023-10-13
2021-10-09,FL,11.191,499.667,2023-10-13
2021-10-16,FL,10.323,510.0,2023-10-13
2021-10-09,GA,3.35,2036.333,2023-10-13
2021-10-16,GA,3.526,2098.667,2023-10-13
2021-10-09,HI,0.0,0.0,2023-10-13
2021-10-16,HI,0.0,0.0,2023-10-13
2021-10-09,ID,5.333,10.333,2023-10-13
2021-10-16,ID,15.478,17.333,2023-10-13
2021-10-09,IL,10.317,0.0,2023-10-13
2021-10-16,IL,10.317,0.0,2023-10-13
2021-10-09,IN,4.416,0.0,2023-10-13
2021-10-16,IN,6.377,0.0,2023-10-13
2021-10-09,IA,38.358,44.333,2023-10-13
2021-10-16,IA,32.141,44.0,2023-10-13
2021-10-09,KS,34.677,0.0,2023-10-13
2021-10-16,KS,35.256,0.0,2023-10-13
2021-10-09,KY,0.0,0.0,2023-10-13
2021-10-16,KY,0.0,0.0,2023-10-13
2021-10-09,LA,5.229,0.0,2023-10-13
2021-10-16,LA,6.274,0.0,2023-10-13
2021-10-09,ME,0.0,0.0,2023-10-13
2021-10-16,ME,0.0,0.0,2023-10-13
2021-10-09,MD,6.667,0.0,2023-10-13
2021-10-16,MD,33.333,0.0,2023-10-13
2021-10-09,MA,0.0,0.0,2023-10-13
2021-10-16,MA,0.0,0.0,2023-10-13
2021-10-09,MI,17.528,81.0,2023-10-13
2021-10-16,MI,17.533,79.0,2023-10-13
2021-10-09,MN,18.482,29.333,2023-10-13
2021-10-16,MN,16.855,27.667,2023-10-13
2021-10-09,MS,8.333,0.0,2023-10-13
2021-10-16,MS,5.556,0.0,2023-10-13
2021-10-09,MO,36.548,125.333,2023-10-13
2021-10-16,MO,29.618,134.333,2023-10-13
2021-10-09,MT,0.0,0.0,2023-10-13
2021-10-16,MT,0.0,0.0,2023-10-13
2021-10-09,NE,0.0,0.333,2023-10-13
2021-10-16,NE,0.0,0.333,2023-10-13
2021-10-09,NV,0.0,0.0,2023-10-13
2021-10-16,NV,0.0,0.0,2023-10-13
2021-10-09,NH,0.0,0.0,2023-10-13
2021-10-16,NH,0.0,0.0,2023-10-13
2021-10-09,NJ,0.0,3.333,2023-10-13
2021-10-16,NJ,0.0,2.0,2023-10-13
2021-10-09,NM,0.0,0.0,2023-10-13
2021-10-16,NM,0.0,0.0,2023-10-13
2021-10-09,NY,0.0,0.0,2023-10-13
2021-10-16,NY,0.0,0.0,2023-10-13
2021-10-09,NC,11.203,0.0,2023-10-13
2021-10-16,NC,10.029,0.0,2023-10-13
2021-10-09,ND,0.0,0.0,2023-10-13
2021-10-16,ND,0.0,0.0,2023-10-13
2021-10-09,OH,34.141,346.667,2023-10-13
2021-10-16,OH,29.525,330.0,2023-10-13
2021-10-09,OK,0.0,0.0,2023-10-13
2021-10-16,OK,0.0,0.0,2023-10-13
2021-10-09,OR,19.379,20.0,2023-10-13
2021-10-16,OR,16.527,24.333,2023-10-13
2021-10-09,PA,4.167,6.0,2023-10-13
2021-10-16,PA,8.929,6.667,2023-10-13
2021-10-09,RI,0.0,0.0,2023-10-13
2021-10-16,RI,0.0,0.0,2023-10-13
2021-10-09,SC,16.027,0.0,2023-10-13
2021-10-16,SC,10.724,0.0,2023-10-13
2021-10-09,SD,0.0,0.0,2023-10-13
2021-10-16,SD,0.0,0.0,2023-10-13
2021-10-09,TN,11.837,78.0,2023-10-13
2021-10-16,TN,13.107,66.667,2023-10-13
2021-10-09,TX,9.914,325.333,2023-10-13
2021-10-16,TX,9.914,288.667,2023-10-13
2021-10-09,UT,0.0,0.0,2023-10-13
2021-10-16,UT,0.0,0.0,2023-10-13
2021-10-09,VT,0.0,0.0,2023-10-13
2021-10-16,VT,0.0,0.0,2023-10-13
2021-10-09,VA,7.331,0.0,2023-10-13
2021-10-16,VA,13.327,0.0,2023-10-13
2021-10-09,WA,18.095,51.333,2023-10-13
2021-10-16,WA,17.367,57.0,2023-10-13
2021-10-09,WV,4.167,6.333,2023-10-13
2021-10-16,WV,9.524,6.0,2023-10-13
2021-10-09,WI,41.445,162.333,2023-10-13
2021-10-16,WI,38.627,181.667,2023-10-13
2021-10-09,WY,31.111,0.0,2023-10-13
2021-10-16,WY,42.222,0.0,2023-10-13
2021-10-23,AL,9.85,27.0,2023-10-20
2021-10-23,AK,0.0,0.0,2023-10-20
2021-10-23,AZ,0.0,0.0,2023-10-20
2021-10-23,AR,21.481,0.0,2023-10-20
2021-10-23,CA,9.562,157.333,2023-10-20
2021-10-23,CO,0.0,0.0,2023-10-20
2021-10-23,CT,0.0,0.0,2023-10-20
2021-10-23,DE,0.0,0.0,2023-10-20
2021-10-23,DC,0.0,0.0,2023-10-20
2021-10-23,FL,10.01,500.667,2023-10-20
2021-10-23,GA,3.157,2205.0,2023-10-20
2021-10-23,HI,0.0,0.0,2023-10-20
2021-10-23,ID,22.886,25.0,2023-10-20
2021-10-23,IL,5.556,0.0,2023-10-20
2021-10-23,IN,4.525,0.0,2023-10-20
2021-10-23,IA,29.405,34.333,2023-10-20
2021-10-23,KS,25.534,0.0,2023-10-20
2021-10-23,KY,0.0,0.0,2023-10-20
2021-10-23,LA,3.088,0.0,2023-10-20
