repweekdate,stateid,antigen_detections,pcr_detections,as_of
2021-10-02,AL,2.2,1.8,2023-10-03
2021-10-02,AK,0.0,0.0,2023-10-03
2021-10-02,AZ,0.0,96.0,2023-10-03
2021-10-02,AR,0.0,0.0,2023-10-03
2021-10-02,CA,13.0,107.8,2023-10-03
2021-10-02,CO,0.0,102.8,2023-10-03
2021-10-02,CT,0.0,83.0,2023-10-03
2021-10-02,DE,0.0,0.0,2023-10-03
2021-10-02,DC,0.0,0.0,2023-10-03
2021-10-02,FL,58.4,24.0,2023-10-03
2021-10-02,GA,65.0,94.6,2023-10-03
2021-10-02,HI,0.0,24.0,2023-10-03
2021-10-02,ID,0.8,2.2,2023-10-03
2021-10-02,IL,0.0,41.4,2023-10-03
2021-10-02,IN,0.0,34.8,2023-10-03
2021-10-02,IA,22.4,230.2,2023-10-03
2021-10-02,KS,0.0,29.0,2023-10-03
2021-10-02,KY,0.0,88.0,2023-10-03
2021-10-02,LA,0.0,5.6,2023-10-03
2021-10-02,ME,0.0,41.4,2023-10-03
2021-10-02,MD,0.0,53.2,2023-10-03
2021-10-02,MA,0.0,96.0,2023-10-03
2021-10-02,MI,15.0,112.6,2023-10-03
2021-10-02,MN,5.4,257.0,2023-10-03
2021-10-02,MS,0.0,0.0,2023-10-03
2021-10-02,MO,54.8,76.8,2023-10-03
2021-10-02,MT,0.0,20.2,2023-10-03
2021-10-02,NE,0.6,71.4,2023-10-03
2021-10-02,NV,0.0,20.6,2023-10-03
2021-10-02,NH,0.0,0.0,2023-10-03
2021-10-02,NJ,1.8,61.4,2023-10-03
2021-10-02,NM,0.0,57.6,2023-10-03
2021-10-02,NY,0.0,226.8,2023-10-03
2021-10-02,NC,0.0,21.4,2023-10-03
2021-10-02,ND,0.0,0.2,2023-10-03
2021-10-02,OH,115.4,247.0,2023-10-03
2021-10-02,OK,0.0,25.6,2023-10-03
2021-10-02,OR,3.2,63.8,2023-10-03
2021-10-02,PA,0.2,115.4,2023-10-03
2021-10-02,RI,0.0,0.0,2023-10-03
2021-10-02,SC,0.0,19.8,2023-10-03
2021-10-02,SD,0.0,139.2,2023-10-03
2021-10-02,TN,11.4,1.4,2023-10-03
2021-10-02,TX,36.6,473.2,2023-10-03
2021-10-02,UT,0.0,0.0,2023-10-03
2021-10-02,VT,0.0,9.2,2023-10-03
2021-10-02,VA,0.0,56.0,2023-10-03
2021-10-02,WA,8.4,109.8,2023-10-03
2021-10-02,WV,0.8,45.6,2023-10-03
2021-10-02,WI,65.6,1032.6,2023-10-03
2021-10-02,WY,0.0,3.0,2023-10-03
2021-10-09,AL,2.2,1.4,2023-10-13
2021-10-16,AL,2.6,1.4,2023-10-13
2021-10-09,AK,0.0,0.0,2023-10-13
2021-10-16,AK,0.0,0.0,2023-10-13
2021-10-09,AZ,0.0,79.6,2023-10-13
2021-10-16,AZ,0.0,67.6,2023-10-13
2021-10-09,AR,0.0,0.0,2023-10-13
2021-10-16,AR,0.0,0.0,2023-10-13
2021-10-09,CA,13.8,127.2,2023-10-13
2021-10-16,CA,14.8,172.4,2023-10-13
2021-10-09,CO,0.0,117.4,2023-10-13
2021-10-16,CO,0.0,123.8,2023-10-13
2021-10-09,CT,0.0,85.4,2023-10-13
2021-10-16,CT,0.0,84.4,2023-10-13
2021-10-09,DE,0.0,0.0,2023-10-13
2021-10-16,DE,0.0,0.0,2023-10-13
2021-10-09,DC,0.0,0.0,2023-10-13
2021-10-16,DC,0.0,0.0,2023-10-13
2021-10-09,FL,55.8,26.4,2023-10-13
2021-10-16,FL,54.8,29.6,2023-10-13
2021-10-09,GA,67.8,93.0,2023-10-13
2021-10-16,GA,69.4,88.4,2023-10-13
2021-10-09,HI,0.0,29.2,2023-10-13
2021-10-16,HI,0.0,31.6,2023-10-13
2021-10-09,ID,2.2,3.8,2023-10-13
