repweekdate,stateid,percent_positive,total_pcr_tests,as_of
2021-10-02,AL,1.955,88.0,2023-10-03
2021-10-02,AK,5.556,0.0,2023-10-03
2021-10-02,AZ,21.223,454.667,2023-10-03
2021-10-02,AR,9.927,0.0,2023-10-03
2021-10-02,CA,11.696,977.667,2023-10-03
2021-10-02,CO,13.084,966.0,2023-10-03
2021-10-02,CT,15.736,502.0,2023-10-03
2021-10-02,DE,0.0,0.0,2023-10-03
2021-10-02,DC,0.0,0.0,2023-10-03
2021-10-02,FL,4.01,689.667,2023-10-03
2021-10-02,GA,12.084,853.333,2023-10-03
2021-10-02,HI,22.035,122.667,2023-10-03
2021-10-02,ID,17.778,7.0,2023-10-03
2021-10-02,IL,10.672,349.0,2023-10-03
2021-10-02,IN,8.083,421.333,2023-10-03
2021-10-02,IA,13.454,1654.0,2023-10-03
2021-10-02,KS,19.072,154.0,2023-10-03
2021-10-02,KY,6.948,1329.667,2023-10-03
2021-10-02,LA,4.701,132.333,2023-10-03
2021-10-02,ME,17.766,221.667,2023-10-03
2021-10-02,MD,13.249,416.333,2023-10-03
2021-10-02,MA,19.362,513.667,2023-10-03
2021-10-02,MI,16.517,683.333,2023-10-03
2021-10-02,MN,19.613,1457.667,2023-10-03
2021-10-02,MS,0.0,0.0,2023-10-03
2021-10-02,MO,20.327,391.0,2023-10-03
2021-10-02,MT,8.084,230.0,2023-10-03
2021-10-02,NE,15.948,518.667,2023-10-03
2021-10-02,NV,4.571,518.333,2023-10-03
2021-10-02,NH,0.0,0.0,2023-10-03
2021-10-02,NJ,6.515,1006.333,2023-10-03
2021-10-02,NM,5.29,996.333,2023-10-03
2021-10-02,NY,7.969,3124.667,2023-10-03
2021-10-02,NC,4.89,352.667,2023-10-03
2021-10-02,ND,0.0,1.333,2023-10-03
2021-10-02,OH,19.254,1316.333,2023-10-03
2021-10-02,OK,3.615,686.0,2023-10-03
2021-10-02,OR,2.412,2423.667,2023-10-03
2021-10-02,PA,16.654,694.0,2023-10-03
2021-10-02,RI,0.0,0.0,2023-10-03
2021-10-02,SC,8.09,193.333,2023-10-03
2021-10-02,SD,10.16,1448.333,2023-10-03
2021-10-02,TN,15.873,10.333,2023-10-03
2021-10-02,TX,11.489,4161.0,2023-10-03
2021-10-02,UT,4.167,0.0,2023-10-03
2021-10-02,VT,10.305,84.0,2023-10-03
2021-10-02,VA,13.897,399.333,2023-10-03
2021-10-02,WA,12.406,980.667,2023-10-03
2021-10-02,WV,17.152,290.0,2023-10-03
2021-10-02,WI,23.44,4441.667,2023-10-03
2021-10-02,WY,7.778,42.333,2023-10-03
2021-10-09,AL,1.492,104.667,2023-10-13
2021-10-16,AL,1.14,88.0,2023-10-13
2021-10-09,AK,5.556,0.0,2023-10-13
2021-10-16,AK,1.449,0.0,2023-10-13
2021-10-09,AZ,17.829,447.667,2023-10-13
2021-10-16,AZ,14.884,433.0,2023-10-13
2021-10-09,AR,8.326,0.0,2023-10-13
2021-10-16,AR,7.838,0.0,2023-10-13
2021-10-09,CA,10.203,1333.0,2023-10-13
2021-10-16,CA,9.313,1596.333,2023-10-13
2021-10-09,CO,10.795,992.0,2023-10-13
2021-10-16,CO,9.088,1230.0,2023-10-13
2021-10-09,CT,15.258,531.667,2023-10-13
2021-10-16,CT,15.634,571.0,2023-10-13
2021-10-09,DE,8.333,0.0,2023-10-13
2021-10-16,DE,0.0,0.0,2023-10-13
2021-10-09,DC,0.0,0.0,2023-10-13
2021-10-16,DC,0.0,0.0,2023-10-13
2021-10-09,FL,4.183,677.0,2023-10-13
2021-10-16,FL,3.472,696.333,2023-10-13
2021-10-09,GA,12.36,836.667,2023-10-13
2021-10-16,GA,9.798,905.0,2023-10-13
2021-10-09,HI,21.681,138.333,2023-10-13
2021-10-16,HI,21.886,150.0,2023-10-13
2021-10-09,ID,25.069,16.0,2023-10-13
2021-10-16,ID,17.88,36.667,2023-10-13
2021-10-09,IL,10.678,332.333,2023-10-13
2021-10-16,IL,10.72,297.0,2023-10-13
2021-10-09,IN,7.849,436.333,2023-10-13
2021-10-16,IN,6.928,428.667,2023-10-13
2021-10-09,IA,11.618,1729.667,2023-10-13
2021-10-16,IA,9.965,1910.333,2023-10-13
2021-10-09,KS,16.327,148.0,2023-10-13
2021-10-16,KS,14.657,142.333,2023-10-13
2021-10-09,KY,6.856,1250.667,2023-10-13
2021-10-16,KY,6.547,1177.0,2023-10-13
2021-10-09,LA,3.354,154.667,2023-10-13
2021-10-16,LA,2.799,176.0,2023-10-13
2021-10-09,ME,17.117,239.333,2023-10-13
2021-10-16,ME,16.853,239.0,2023-10-13
2021-10-09,MD,11.115,466.0,2023-10-13
2021-10-16,MD,9.016,495.333,2023-10-13
2021-10-09,MA,15.68,589.0,2023-10-13
2021-10-16,MA,13.414,580.667,2023-10-13
2021-10-09,MI,17.067,749.333,2023-10-13
2021-10-16,MI,17.397,766.0,2023-10-13
2021-10-09,MN,17.563,1383.667,2023-10-13
2021-10-16,MN,15.938,1281.667,2023-10-13
2021-10-09,MS,0.0,0.0,2023-10-13
2021-10-16,MS,0.0,0.0,2023-10-13
2021-10-09,MO,18.59,404.0,2023-10-13
2021-10-16,MO,16.752,404.0,2023-10-13
2021-10-09,MT,10.018,236.667,2023-10-13
2021-10-16,MT,11.729,252.0,2023-10-13
2021-10-09,NE,15.648,492.667,2023-10-13
2021-10-16,NE,15.215,486.333,2023-10-13
2021-10-09,NV,5.398,444.667,2023-10-13
2021-10-16,NV,4.064,496.333,2023-10-13
2021-10-09,NH,0.0,0.0,2023-10-13
2021-10-16,NH,0.0,0.0,2023-10-13
2021-10-09,NJ,4.741,1211.667,2023-10-13
2021-10-16,NJ,4.856,1256.667,2023-10-13
2021-10-09,NM,5.532,1070.333,2023-10-13
2021-10-16,NM,7.724,1297.0,2023-10-13
2021-10-09,NY,7.507,2982.333,2023-10-13
2021-10-16,NY,6.574,2799.667,2023-10-13
2021-10-09,NC,6.917,511.0,2023-10-13
2021-10-16,NC,6.272,532.333,2023-10-13
2021-10-09,ND,0.0,1.0,2023-10-13
2021-10-16,ND,0.0,0.667,2023-10-13
2021-10-09,OH,18.659,1307.333,2023-10-13
2021-10-16,OH,16.802,1224.0,2023-10-13
2021-10-09,OK,3.176,671.333,2023-10-13
2021-10-16,OK,3.017,700.333,2023-10-13
2021-10-09,OR,3.219,2571.333,2023-10-13
2021-10-16,OR,3.812,2729.333,2023-10-13
2021-10-09,PA,16.237,703.0,2023-10-13
2021-10-16,PA,14.687,774.667,2023-10-13
2021-10-09,RI,0.0,0.0,2023-10-13
2021-10-16,RI,0.0,0.0,2023-10-13
2021-10-09,SC,10.131,191.0,2023-10-13
2021-10-16,SC,9.07,220.667,2023-10-13
2021-10-09,SD,9.76,1502.667,2023-10-13
2021-10-16,SD,10.482,1347.667,2023-10-13
2021-10-09,TN,6.723,13.0,2023-10-13
2021-10-16,TN,11.485,12.667,2023-10-13
2021-10-09,TX,10.955,4062.667,2023-10-13
2021-10-16,TX,10.508,4018.0,2023-10-13
2021-10-09,UT,4.167,0.0,2023-10-13
2021-10-16,UT,4.167,0.0,2023-10-13
2021-10-09,VT,10.912,94.667,2023-10-13
2021-10-16,VT,9.307,123.0,2023-10-13
