"","Month","Numerator","Population","Jurisdiction","Estimate","Age_group_label","Source"
"1","Jul-23","0",22821,"Connecticut",0,"0-7 months","IIS"
"2","Jul-23","0",34806,"Connecticut",0,"8-19 months","IIS"
"3","Jul-23","0",57627,"Connecticut",0,"0-19 months","IIS"
"4","Dec-23","4,081",28012,"Oregon",0.1457,"0-7 months","IIS"
"5","Dec-23","145",42283,"Oregon",0.0034,"8-19 months","IIS"
"6","Dec-23","4,226",70295,"Oregon",0.0601,"0-19 months","IIS"
"7","Mar-24","7,089",297909,"California",0.0238,"0-7 months","IIS"
"8","Mar-24","552",448200,"California",0.0012,"8-19 months","IIS"
"9","Mar-24","7,641",746109,"California",0.0102,"0-19 months","IIS"
"10","Nov-23","2,019",46389,"Maryland",0.0435,"0-7 months","IIS"
"11","Nov-23","71",70389,"Maryland",0.001,"8-19 months","IIS"
"12","Nov-23","2,090",116778,"Maryland",0.0179,"0-19 months","IIS"
"13","Dec-23","4,902",297909,"California",0.0165,"0-7 months","IIS"
"14","Dec-23","334",448200,"California",0.0007,"8-19 months","IIS"
"15","Dec-23","5,236",746109,"California",0.007,"0-19 months","IIS"
"16","Dec-23","3,103",44260,"Minnesota",0.0701,"0-7 months","IIS"
"17","Dec-23","99",67063,"Minnesota",0.0015,"8-19 months","IIS"
"18","Dec-23","3,202",111323,"Minnesota",0.0288,"0-19 months","IIS"
"19","Dec-23","2,948",46389,"Maryland",0.0635,"0-7 months","IIS"
"20","Dec-23","123",70389,"Maryland",0.0017,"8-19 months","IIS"
"21","Dec-23","3,071",116778,"Maryland",0.0263,"0-19 months","IIS"
"22","Dec-23","3,290",53261,"Tennessee",0.0618,"0-7 months","IIS"
"23","Dec-23","123",80273,"Tennessee",0.0015,"8-19 months","IIS"
"24","Dec-23","3,413",133534,"Tennessee",0.0256,"0-19 months","IIS"
"25","Aug-23","2",297909,"California",0.0000067135,"0-7 months","IIS"
"26","Aug-23","0",448200,"California",0,"8-19 months","IIS"
"27","Aug-23","2",746109,"California",0.0000026806,"0-19 months","IIS"
"28","Sep-23","15",297909,"California",0.0001,"0-7 months","IIS"
"29","Sep-23","0",448200,"California",0,"8-19 months","IIS"
"30","Sep-23","15",746109,"California",0,"0-19 months","IIS"
"31","Oct-23","1,118",297909,"California",0.0038,"0-7 months","IIS"
"32","Oct-23","78",448200,"California",0.0002,"8-19 months","IIS"
"33","Oct-23","1,196",746109,"California",0.0016,"0-19 months","IIS"
