"date","geography","value"
"9/30/2023","National",0.049
"10/7/2023","National",0.052
"10/14/2023","National",0.064
"10/21/2023","National",0.082
"10/28/2023","National",0.091
"11/4/2023","National",0.113
"11/11/2023","National",0.125
"11/18/2023","National",0.135
"11/25/2023","National",0.138
"12/2/2023","National",0.148
"12/9/2023","National",0.156
"12/16/2023","National",0.159
"12/23/2023","National",0.161
"12/30/2023","National",0.163
"1/6/2024","National",0.175
"1/13/2024","National",0.178
"1/20/2024","National",0.182
"1/27/2024","National",0.186
"2/3/2024","National",0.187
"2/10/2024","National",0.188
"2/17/2024","National",0.189
"2/24/2024","National",0.192
"3/2/2024","National",0.206
"3/9/2024","National",0.206
"3/16/2024","National",0.206
"3/23/2024","National",0.207
"3/30/2024","National",0.208
"4/6/2024","National",0.217
"4/13/2024","National",0.217
"4/20/2024","National",0.219
"4/27/2024","National",0.221
"5/4/2024","National",0.226
"5/11/2024","National",0.228
"5/18/2024","National",0.228
"5/25/2024","National",0.229
"6/1/2024","National",0.232
"6/8/2024","National",0.233
"6/15/2024","National",0.233
"6/22/2024","National",0.233
"6/30/2024","National",0.236
"9/30/2023","California",0.056
"10/7/2023","California",0.056
"10/14/2023","California",0.062
"10/21/2023","California",0.082
"10/28/2023","California",0.082
"11/4/2023","California",0.108
"11/11/2023","California",0.108
"11/18/2023","California",0.123
"11/25/2023","California",0.123
"12/2/2023","California",0.138
"12/9/2023","California",0.158
"12/16/2023","California",0.158
"12/23/2023","California",0.158
"12/30/2023","California",0.158
"1/6/2024","California",0.158
"1/13/2024","California",0.158
"1/20/2024","California",0.159
"1/27/2024","California",0.168
"2/3/2024","California",0.172
"2/10/2024","California",0.173
"2/17/2024","California",0.173
"2/24/2024","California",0.173
"3/2/2024","California",0.193
"3/9/2024","California",0.193
"3/16/2024","California",0.193
"3/23/2024","California",0.193
"3/30/2024","California",0.193
"4/6/2024","California",0.215
"4/13/2024","California",0.215
"4/20/2024","California",0.221
"4/27/2024","California",0.221
"5/4/2024","California",0.229
"5/11/2024","California",0.232
"5/18/2024","California",0.232
"5/25/2024","California",0.232
"6/1/2024","California",0.238
"6/8/2024","California",0.238
"6/15/2024","California",0.24
"6/22/2024","California",0.24
"6/30/2024","California",0.24
"9/30/2023","Colorado",0.099
"10/7/2023","Colorado",0.099
"10/14/2023","Colorado",0.105
"10/21/2023","Colorado",0.105
"10/28/2023","Colorado",0.11
"11/4/2023","Colorado",0.189
"11/11/2023","Colorado",0.207
"11/18/2023","Colorado",0.214
"11/25/2023","Colorado",0.221
"12/2/2023","Colorado",0.227
"12/9/2023","Colorado",0.243
"12/16/2023","Colorado",0.245
"12/23/2023","Colorado",0.246
"12/30/2023","Colorado",0.246
"1/6/2024","Colorado",0.255
"1/13/2024","Colorado",0.257
"1/20/2024","Colorado",0.263
"1/27/2024","Colorado",0.263
"2/3/2024","Colorado",0.271
"2/10/2024","Colorado",0.271
"2/17/2024","Colorado",0.272
"2/24/2024","Colorado",0.272
"3/2/2024","Colorado",0.283
"3/9/2024","Colorado",0.285
"3/16/2024","Colorado",0.285
"3/23/2024","Colorado",0.285
