"location","date","age_group","target","value","population"
"US",2016-10-08,"0-130","rate hosp",0,321869270
"US",2016-10-08,"0-130","inc hosp",0,321869270
"US",2016-10-15,"0-130","rate hosp",0,321869270
"US",2016-10-15,"0-130","inc hosp",0,321869270
"US",2016-10-22,"0-130","rate hosp",0,321869270
"US",2016-10-22,"0-130","inc hosp",0,321869270
"US",2016-10-29,"0-130","rate hosp",0,321869270
"US",2016-10-29,"0-130","inc hosp",0,321869270
"US",2016-11-05,"0-130","rate hosp",0,321869270
"US",2016-11-05,"0-130","inc hosp",0,321869270
"US",2016-11-12,"0-130","rate hosp",0.1,321869270
"US",2016-11-12,"0-130","inc hosp",321.86927,321869270
"US",2016-11-19,"0-130","rate hosp",0,321869270
"US",2016-11-19,"0-130","inc hosp",0,321869270
"US",2016-11-26,"0-130","rate hosp",0.2,321869270
"US",2016-11-26,"0-130","inc hosp",643.73854,321869270
"US",2016-12-03,"0-130","rate hosp",0.2,321869270
"US",2016-12-03,"0-130","inc hosp",643.73854,321869270
"US",2016-12-10,"0-130","rate hosp",0.2,321869270
"US",2016-12-10,"0-130","inc hosp",643.73854,321869270
"US",2016-12-17,"0-130","rate hosp",0.3,321869270
"US",2016-12-17,"0-130","inc hosp",965.60781,321869270
"US",2016-12-24,"0-130","rate hosp",0.4,321869270
"US",2016-12-24,"0-130","inc hosp",1287.47708,321869270
"US",2016-12-31,"0-130","rate hosp",0.6,321869270
"US",2016-12-31,"0-130","inc hosp",1931.21562,321869270
"US",2017-01-07,"0-130","rate hosp",0.7,323931513
"US",2017-01-07,"0-130","inc hosp",2267.520591,323931513
"US",2017-01-14,"0-130","rate hosp",0.7,323931513
"US",2017-01-14,"0-130","inc hosp",2267.520591,323931513
"US",2017-01-21,"0-130","rate hosp",0.5,323931513
"US",2017-01-21,"0-130","inc hosp",1619.657565,323931513
"US",2017-01-28,"0-130","rate hosp",0.6,323931513
"US",2017-01-28,"0-130","inc hosp",1943.589078,323931513
"US",2017-02-04,"0-130","rate hosp",0.6,323931513
"US",2017-02-04,"0-130","inc hosp",1943.589078,323931513
"US",2017-02-11,"0-130","rate hosp",0.5,323931513
"US",2017-02-11,"0-130","inc hosp",1619.657565,323931513
"US",2017-02-18,"0-130","rate hosp",0.5,323931513
"US",2017-02-18,"0-130","inc hosp",1619.657565,323931513
"US",2017-02-25,"0-130","rate hosp",0.4,323931513
