"location","date","age_group","signal","observation","population"
"US",2021-10-09,"18-130","rate hosp",0.3,258091544
"US",2021-10-09,"18-130","inc hosp",774.274632,258091544
"US",2021-10-16,"18-130","rate hosp",0.3,258091544
"US",2021-10-16,"18-130","inc hosp",774.274632,258091544
"US",2021-10-23,"18-130","rate hosp",0.4,258091544
"US",2021-10-23,"18-130","inc hosp",1032.366176,258091544
"US",2021-10-30,"18-130","rate hosp",0.4,258091544
"US",2021-10-30,"18-130","inc hosp",1032.366176,258091544
"US",2021-11-06,"18-130","rate hosp",0.4,258091544
"US",2021-11-06,"18-130","inc hosp",1032.366176,258091544
"US",2021-11-13,"18-130","rate hosp",0.5,258091544
"US",2021-11-13,"18-130","inc hosp",1290.45772,258091544
"US",2021-11-20,"18-130","rate hosp",0.4,258091544
"US",2021-11-20,"18-130","inc hosp",1032.366176,258091544
"US",2021-11-27,"18-130","rate hosp",0.4,258091544
"US",2021-11-27,"18-130","inc hosp",1032.366176,258091544
"US",2021-12-04,"18-130","rate hosp",0.6,258091544
"US",2021-12-04,"18-130","inc hosp",1548.549264,258091544
"US",2021-12-11,"18-130","rate hosp",0.7,258091544
"US",2021-12-11,"18-130","inc hosp",1806.640808,258091544
"US",2021-12-18,"18-130","rate hosp",0.6,258091544
"US",2021-12-18,"18-130","inc hosp",1548.549264,258091544
"US",2021-12-25,"18-130","rate hosp",0.6,258091544
"US",2021-12-25,"18-130","inc hosp",1548.549264,258091544
"US",2022-01-01,"18-130","rate hosp",0.6,258091544
"US",2022-01-01,"18-130","inc hosp",1548.549264,258091544
"US",2022-01-08,"18-130","rate hosp",0.5,259751171
"US",2022-01-08,"18-130","inc hosp",1298.755855,259751171
"US",2022-01-15,"18-130","rate hosp",0.3,259751171
"US",2022-01-15,"18-130","inc hosp",779.253513,259751171
"US",2022-01-22,"18-130","rate hosp",0.2,259751171
"US",2022-01-22,"18-130","inc hosp",519.502342,259751171
"US",2022-01-29,"18-130","rate hosp",0.1,259751171
"US",2022-01-29,"18-130","inc hosp",259.751171,259751171
"US",2022-02-05,"18-130","rate hosp",0.1,259751171
"US",2022-02-05,"18-130","inc hosp",259.751171,259751171
"US",2022-02-12,"18-130","rate hosp",0.1,259751171
"US",2022-02-12,"18-130","inc hosp",259.751171,259751171
"US",2022-02-19,"18-130","rate hosp",0.1,259751171
"US",2022-02-19,"18-130","inc hosp",259.751171,259751171
"US",2022-02-26,"18-130","rate hosp",0.1,259751171
"US",2022-02-26,"18-130","inc hosp",259.751171,259751171
"US",2022-03-05,"18-130","rate hosp",0.1,259751171
"US",2022-03-05,"18-130","inc hosp",259.751171,259751171
"US",2022-03-12,"18-130","rate hosp",0.1,259751171
"US",2022-03-12,"18-130","inc hosp",259.751171,259751171
"US",2022-03-19,"18-130","rate hosp",0.1,259751171
"US",2022-03-19,"18-130","inc hosp",259.751171,259751171
"US",2022-03-26,"18-130","rate hosp",0.1,259751171
"US",2022-03-26,"18-130","inc hosp",259.751171,259751171
"US",2022-04-02,"18-130","rate hosp",0.1,259751171
"US",2022-04-02,"18-130","inc hosp",259.751171,259751171
"US",2022-04-09,"18-130","rate hosp",0.1,259751171
