"location","date","age_group","signal","observation","population"
"US",2018-10-06,"5-17","rate hosp",0,53605751
"US",2018-10-06,"5-17","inc hosp",0,53605751
"US",2018-10-13,"5-17","rate hosp",0.1,53605751
"US",2018-10-13,"5-17","inc hosp",53.605751,53605751
"US",2018-10-20,"5-17","rate hosp",0.1,53605751
"US",2018-10-20,"5-17","inc hosp",53.605751,53605751
"US",2018-10-27,"5-17","rate hosp",0,53605751
"US",2018-10-27,"5-17","inc hosp",0,53605751
"US",2018-11-03,"5-17","rate hosp",0.1,53605751
"US",2018-11-03,"5-17","inc hosp",53.605751,53605751
"US",2018-11-10,"5-17","rate hosp",0.2,53605751
"US",2018-11-10,"5-17","inc hosp",107.211502,53605751
"US",2018-11-17,"5-17","rate hosp",0.1,53605751
"US",2018-11-17,"5-17","inc hosp",53.605751,53605751
"US",2018-11-24,"5-17","rate hosp",0.2,53605751
"US",2018-11-24,"5-17","inc hosp",107.211502,53605751
"US",2018-12-01,"5-17","rate hosp",0.2,53605751
"US",2018-12-01,"5-17","inc hosp",107.211502,53605751
"US",2018-12-08,"5-17","rate hosp",0.2,53605751
"US",2018-12-08,"5-17","inc hosp",107.211502,53605751
"US",2018-12-15,"5-17","rate hosp",0.2,53605751
"US",2018-12-15,"5-17","inc hosp",107.211502,53605751
"US",2018-12-22,"5-17","rate hosp",0.4,53605751
"US",2018-12-22,"5-17","inc hosp",214.423004,53605751
"US",2018-12-29,"5-17","rate hosp",0.2,53605751
"US",2018-12-29,"5-17","inc hosp",107.211502,53605751
"US",2019-01-05,"5-17","rate hosp",0.3,53516113
"US",2019-01-05,"5-17","inc hosp",160.548339,53516113
"US",2019-01-12,"5-17","rate hosp",0.3,53516113
"US",2019-01-12,"5-17","inc hosp",160.548339,53516113
"US",2019-01-19,"5-17","rate hosp",0.3,53516113
"US",2019-01-19,"5-17","inc hosp",160.548339,53516113
"US",2019-01-26,"5-17","rate hosp",0.3,53516113
"US",2019-01-26,"5-17","inc hosp",160.548339,53516113
"US",2019-02-02,"5-17","rate hosp",0.3,53516113
"US",2019-02-02,"5-17","inc hosp",160.548339,53516113
"US",2019-02-09,"5-17","rate hosp",0.4,53516113
"US",2019-02-09,"5-17","inc hosp",214.064452,53516113
"US",2019-02-16,"5-17","rate hosp",0.2,53516113
"US",2019-02-16,"5-17","inc hosp",107.032226,53516113
"US",2019-02-23,"5-17","rate hosp",0.3,53516113
"US",2019-02-23,"5-17","inc hosp",160.548339,53516113
"US",2019-03-02,"5-17","rate hosp",0.3,53516113
"US",2019-03-02,"5-17","inc hosp",160.548339,53516113
"US",2019-03-09,"5-17","rate hosp",0.2,53516113
"US",2019-03-09,"5-17","inc hosp",107.032226,53516113
"US",2019-03-16,"5-17","rate hosp",0.1,53516113
"US",2019-03-16,"5-17","inc hosp",53.516113,53516113
"US",2019-03-23,"5-17","rate hosp",0.1,53516113
"US",2019-03-23,"5-17","inc hosp",53.516113,53516113
"US",2019-03-30,"5-17","rate hosp",0,53516113
"US",2019-03-30,"5-17","inc hosp",0,53516113
"US",2019-04-06,"5-17","rate hosp",0,53516113
"US",2019-04-06,"5-17","inc hosp",0,53516113
"US",2019-04-13,"5-17","rate hosp",0,53516113
"US",2019-04-13,"5-17","inc hosp",0,53516113
"US",2019-04-20,"5-17","rate hosp",0.1,53516113
"US",2019-04-20,"5-17","inc hosp",53.516113,53516113
"US",2019-04-27,"5-17","rate hosp",0,53516113
"US",2019-04-27,"5-17","inc hosp",0,53516113
"US",2019-05-04,"5-17","rate hosp",0,53516113
"US",2019-05-04,"5-17","inc hosp",0,53516113
"US",2019-10-05,"5-17","rate hosp",0,53516113
"US",2019-10-05,"5-17","inc hosp",0,53516113
"US",2019-10-12,"5-17","rate hosp",0,53516113
"US",2019-10-12,"5-17","inc hosp",0,53516113
"US",2019-10-19,"5-17","rate hosp",0,53516113
"US",2019-10-19,"5-17","inc hosp",0,53516113
"US",2019-10-26,"5-17","rate hosp",0.1,53516113
"US",2019-10-26,"5-17","inc hosp",53.516113,53516113
"US",2019-11-02,"5-17","rate hosp",0.1,53516113
"US",2019-11-02,"5-17","inc hosp",53.516113,53516113
"US",2019-11-09,"5-17","rate hosp",0.2,53516113
"US",2019-11-09,"5-17","inc hosp",107.032226,53516113
"US",2019-11-16,"5-17","rate hosp",0.2,53516113
"US",2019-11-16,"5-17","inc hosp",107.032226,53516113
"US",2019-11-23,"5-17","rate hosp",0.3,53516113
"US",2019-11-23,"5-17","inc hosp",160.548339,53516113
"US",2019-11-30,"5-17","rate hosp",0.3,53516113
"US",2019-11-30,"5-17","inc hosp",160.548339,53516113
"US",2019-12-07,"5-17","rate hosp",0.3,53516113
"US",2019-12-07,"5-17","inc hosp",160.548339,53516113
"US",2019-12-14,"5-17","rate hosp",0.4,53516113
"US",2019-12-14,"5-17","inc hosp",214.064452,53516113
"US",2019-12-21,"5-17","rate hosp",0.3,53516113
"US",2019-12-21,"5-17","inc hosp",160.548339,53516113
"US",2019-12-28,"5-17","rate hosp",0.6,53516113
"US",2019-12-28,"5-17","inc hosp",321.096678,53516113
"US",2020-01-04,"5-17","rate hosp",0.5,54344454
"US",2020-01-04,"5-17","inc hosp",271.72227,54344454
"US",2020-01-11,"5-17","rate hosp",0.2,54344454
"US",2020-01-11,"5-17","inc hosp",108.688908,54344454
"US",2020-01-18,"5-17","rate hosp",0.3,54344454
"US",2020-01-18,"5-17","inc hosp",163.033362,54344454
"US",2020-01-25,"5-17","rate hosp",0.5,54344454
"US",2020-01-25,"5-17","inc hosp",271.72227,54344454
"US",2020-02-01,"5-17","rate hosp",0.3,54344454
"US",2020-02-01,"5-17","inc hosp",163.033362,54344454
"US",2020-02-08,"5-17","rate hosp",0.3,54344454
