"Geography","fips","abbreviation","Births_per_year","Total_pop","Scenario","Dose_type","Denominator","Weekly_doses","Weekly_incident_cov","Weekly_cumulative_cov","date","Denominator_type"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,3212,1.55425851243596,1.55425851243596,2025-10-04,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,4.27421090919888,2025-10-11,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,6.99416330596181,2025-10-18,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,9.71411570272473,2025-10-25,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,12.4340680994877,2025-11-01,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,15.1540204962506,2025-11-08,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,17.8739728930135,2025-11-15,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,20.5939252897765,2025-11-22,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,23.3138776865394,2025-11-29,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,26.0338300833022,2025-12-06,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,28.7537824800652,2025-12-13,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,31.4737348768281,2025-12-20,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,34.1936872735911,2025-12-27,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,36.913639670354,2026-01-03,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,39.633592067117,2026-01-10,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,42.3535444638798,2026-01-17,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,45.0734968606427,2026-01-24,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,47.7934492574057,2026-01-31,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,50.5134016541686,2026-02-07,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,53.2333540509316,2026-02-14,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,55.9533064476945,2026-02-21,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,58.6732588444573,2026-02-28,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,61.3932112412203,2026-03-07,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,64.1131636379832,2026-03-14,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,66.8331160347462,2026-03-21,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,5622,2.71995239676292,69.5530684315091,2026-03-28,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Birth Monoclonals",206681,803,0.38856462810899,69.9416330596181,2026-04-04,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Catch Up Monoclonals",210126,26241,12.4882577782097,12.4882577782097,2025-10-04,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Catch Up Monoclonals",210126,36731,17.480411265842,29.9686690440517,2025-10-11,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Catch Up Monoclonals",210126,36731,17.480411265842,47.4490803098938,2025-10-18,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Catch Up Monoclonals",210126,36731,17.480411265842,64.9294915757358,2025-10-25,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Catch Up Monoclonals",210126,10490,4.99215348763237,69.9216450633681,2025-11-01,"Eligible_babies_entire_season"
"California",6,"CA",419104,39029342,"A","Maternal Vaccine",206681,1630,0.788846894539038,0.788846894539038,2025-09-06,"Eligible_mothers_entire_season"
