"Geography","fips","abbreviation","Births_per_year","Total_pop","Scenario","Dose_type","Week_Ending_Sat","Eligible_babies_entire_season","Nirsevimab_weekly_doses","Weekly_incident_cov","Weekly_cumulative_cov"
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-17",156159.298630137,9177,5.87669135331845,5.87669135331845
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-24",156159.298630137,21432,13.724446887253,19.6011382405715
"California",6,"CA",419104,39029342,"A","Catch Up","2024-08-31",156159.298630137,21432,13.724446887253,33.3255851278245
"California",6,"CA",419104,39029342,"A","Catch Up","2024-09-07",156159.298630137,21432,13.724446887253,47.0500320150775
"California",6,"CA",419104,39029342,"A","Catch Up","2024-09-14",156159.298630137,12255,7.84775553393458,54.8977875490121
"California",6,"CA",419104,39029342,"A","New Born","2024-08-17",260648.24109589,1262,0.484177447234612,0.484177447234612
"California",6,"CA",419104,39029342,"A","New Born","2024-08-24",260648.24109589,4417,1.69462106532114,2.17879851255576
"California",6,"CA",419104,39029342,"A","New Born","2024-08-31",260648.24109589,4417,1.69462106532114,3.8734195778769
"California",6,"CA",419104,39029342,"A","New Born","2024-09-07",260648.24109589,4417,1.69462106532114,5.56804064319804
"California",6,"CA",419104,39029342,"A","New Born","2024-09-14",260648.24109589,4417,1.69462106532114,7.26266170851919
"California",6,"CA",419104,39029342,"A","New Born","2024-09-21",260648.24109589,4417,1.69462106532114,8.95728277384033
"California",6,"CA",419104,39029342,"A","New Born","2024-09-28",260648.24109589,4417,1.69462106532114,10.6519038391615
"California",6,"CA",419104,39029342,"A","New Born","2024-10-05",260648.24109589,4417,1.69462106532114,12.3465249044826
"California",6,"CA",419104,39029342,"A","New Born","2024-10-12",260648.24109589,4417,1.69462106532114,14.0411459698038
"California",6,"CA",419104,39029342,"A","New Born","2024-10-19",260648.24109589,4417,1.69462106532114,15.7357670351249
"California",6,"CA",419104,39029342,"A","New Born","2024-10-26",260648.24109589,4417,1.69462106532114,17.430388100446
"California",6,"CA",419104,39029342,"A","New Born","2024-11-02",260648.24109589,4417,1.69462106532114,19.1250091657672
"California",6,"CA",419104,39029342,"A","New Born","2024-11-09",260648.24109589,4417,1.69462106532114,20.8196302310883
"California",6,"CA",419104,39029342,"A","New Born","2024-11-16",260648.24109589,4417,1.69462106532114,22.5142512964095
"California",6,"CA",419104,39029342,"A","New Born","2024-11-23",260648.24109589,4417,1.69462106532114,24.2088723617306
"California",6,"CA",419104,39029342,"A","New Born","2024-11-30",260648.24109589,4417,1.69462106532114,25.9034934270518
"California",6,"CA",419104,39029342,"A","New Born","2024-12-07",260648.24109589,4417,1.69462106532114,27.5981144923729
"California",6,"CA",419104,39029342,"A","New Born","2024-12-14",260648.24109589,4417,1.69462106532114,29.292735557694
"California",6,"CA",419104,39029342,"A","New Born","2024-12-21",260648.24109589,4417,1.69462106532114,30.9873566230152
"California",6,"CA",419104,39029342,"A","New Born","2024-12-28",260648.24109589,4417,1.69462106532114,32.6819776883363
"California",6,"CA",419104,39029342,"A","New Born","2025-01-04",260648.24109589,4417,1.69462106532114,34.3765987536575
"California",6,"CA",419104,39029342,"A","New Born","2025-01-11",260648.24109589,4417,1.69462106532114,36.0712198189786
"California",6,"CA",419104,39029342,"A","New Born","2025-01-18",260648.24109589,4417,1.69462106532114,37.7658408842998
"California",6,"CA",419104,39029342,"A","New Born","2025-01-25",260648.24109589,4417,1.69462106532114,39.4604619496209
"California",6,"CA",419104,39029342,"A","New Born","2025-02-01",260648.24109589,4417,1.69462106532114,41.1550830149421
