Geography,fips,abbreviation,Age,tot_pop,Week_Ending_Sat,rsv_cov_cum_percent,rsv_doses_cum
California,06,CA,60-74 high-risk,2931239.5,8/3/2024,0.00,0
California,06,CA,60-74 high-risk,2931239.5,8/10/2024,0.00,0
California,06,CA,60-74 high-risk,2931239.5,8/17/2024,0.00,0
California,06,CA,60-74 high-risk,2931239.5,8/24/2024,0.00,0
California,06,CA,60-74 high-risk,2931239.5,8/31/2024,0.00,0
California,06,CA,60-74 high-risk,2931239.5,9/7/2024,0.15,4536
California,06,CA,60-74 high-risk,2931239.5,9/14/2024,0.44,12754
California,06,CA,60-74 high-risk,2931239.5,9/21/2024,0.80,23415
California,06,CA,60-74 high-risk,2931239.5,9/28/2024,1.26,36909
California,06,CA,60-74 high-risk,2931239.5,10/5/2024,1.83,53496
California,06,CA,60-74 high-risk,2931239.5,10/12/2024,2.50,73262
California,06,CA,60-74 high-risk,2931239.5,10/19/2024,3.28,96108
California,06,CA,60-74 high-risk,2931239.5,10/26/2024,4.15,121733
California,06,CA,60-74 high-risk,2931239.5,11/2/2024,5.10,149638
California,06,CA,60-74 high-risk,2931239.5,11/9/2024,6.11,179113
California,06,CA,60-74 high-risk,2931239.5,11/16/2024,7.14,209262
California,06,CA,60-74 high-risk,2931239.5,11/23/2024,8.16,239073
California,06,CA,60-74 high-risk,2931239.5,11/30/2024,9.13,267537
California,06,CA,60-74 high-risk,2931239.5,12/7/2024,10.02,293754
California,06,CA,60-74 high-risk,2931239.5,12/14/2024,10.81,316995
California,06,CA,60-74 high-risk,2931239.5,12/21/2024,11.49,336748
California,06,CA,60-74 high-risk,2931239.5,12/28/2024,12.03,352769
California,06,CA,60-74 high-risk,2931239.5,1/4/2025,12.46,365120
California,06,CA,60-74 high-risk,2931239.5,1/11/2025,12.76,374125
California,06,CA,60-74 high-risk,2931239.5,1/18/2025,12.97,380265
California,06,CA,60-74 high-risk,2931239.5,1/25/2025,13.10,384080
California,06,CA,60-74 high-risk,2931239.5,2/1/2025,13.17,386107
California,06,CA,60-74 high-risk,2931239.5,2/8/2025,13.20,386833
California,06,CA,60-74 high-risk,2931239.5,2/15/2025,13.20,386833
California,06,CA,60-74 high-risk,2931239.5,2/22/2025,13.20,386833
California,06,CA,60-74 high-risk,2931239.5,3/1/2025,13.20,386833
California,06,CA,60-74 high-risk,2931239.5,3/8/2025,13.20,386833
California,06,CA,60-74 high-risk,2931239.5,3/15/2025,13.20,386833
California,06,CA,60-74 high-risk,2931239.5,3/22/2025,13.20,386833
California,06,CA,60-74 high-risk,2931239.5,3/29/2025,13.20,386833
California,06,CA,60-74 high-risk,2931239.5,4/5/2025,13.20,386833
California,06,CA,60-74 high-risk,2931239.5,4/12/2025,13.20,386833
California,06,CA,60-74 high-risk,2931239.5,4/19/2025,13.20,386833
California,06,CA,60-74 high-risk,2931239.5,4/26/2025,13.20,386833
California,06,CA,60-74 high-risk,2931239.5,5/3/2025,13.20,386833
California,06,CA,60-74 high-risk,2931239.5,5/10/2025,13.20,386833
California,06,CA,60-74 high-risk,2931239.5,5/17/2025,13.20,386833
California,06,CA,60-74 high-risk,2931239.5,5/24/2025,13.20,386833
California,06,CA,60-74 high-risk,2931239.5,5/31/2025,13.20,386833
California,06,CA,75+,2594859,8/3/2024,0.00,0
California,06,CA,75+,2594859,8/10/2024,0.00,0
California,06,CA,75+,2594859,8/17/2024,0.00,0
California,06,CA,75+,2594859,8/24/2024,0.00,0
California,06,CA,75+,2594859,8/31/2024,0.00,0
California,06,CA,75+,2594859,9/7/2024,0.18,4618
California,06,CA,75+,2594859,9/14/2024,0.50,12984
California,06,CA,75+,2594859,9/21/2024,0.92,23837
California,06,CA,75+,2594859,9/28/2024,1.45,37575
California,06,CA,75+,2594859,10/5/2024,2.10,54460
California,06,CA,75+,2594859,10/12/2024,2.87,74583
California,06,CA,75+,2594859,10/19/2024,3.77,97840
California,06,CA,75+,2594859,10/26/2024,4.78,123928
California,06,CA,75+,2594859,11/2/2024,5.87,152336
California,06,CA,75+,2594859,11/9/2024,7.03,182342
California,06,CA,75+,2594859,11/16/2024,8.21,213035
California,06,CA,75+,2594859,11/23/2024,9.38,243384
California,06,CA,75+,2594859,11/30/2024,10.50,272361
California,06,CA,75+,2594859,12/7/2024,11.52,299050
California,06,CA,75+,2594859,12/14/2024,12.44,322711
California,06,CA,75+,2594859,12/21/2024,13.21,342819
California,06,CA,75+,2594859,12/28/2024,13.84,359129
California,06,CA,75+,2594859,1/4/2025,14.32,371703
California,06,CA,75+,2594859,1/11/2025,14.68,380871
California,06,CA,75+,2594859,1/18/2025,14.92,387121
California,06,CA,75+,2594859,1/25/2025,15.07,391005
California,06,CA,75+,2594859,2/1/2025,15.15,393069
California,06,CA,75+,2594859,2/8/2025,15.18,393807
California,06,CA,75+,2594859,2/15/2025,15.18,393807
California,06,CA,75+,2594859,2/22/2025,15.18,393807
California,06,CA,75+,2594859,3/1/2025,15.18,393807
California,06,CA,75+,2594859,3/8/2025,15.18,393807
California,06,CA,75+,2594859,3/15/2025,15.18,393807
California,06,CA,75+,2594859,3/22/2025,15.18,393807
California,06,CA,75+,2594859,3/29/2025,15.18,393807
California,06,CA,75+,2594859,4/5/2025,15.18,393807
California,06,CA,75+,2594859,4/12/2025,15.18,393807
California,06,CA,75+,2594859,4/19/2025,15.18,393807
California,06,CA,75+,2594859,4/26/2025,15.18,393807
California,06,CA,75+,2594859,5/3/2025,15.18,393807
California,06,CA,75+,2594859,5/10/2025,15.18,393807
California,06,CA,75+,2594859,5/17/2025,15.18,393807
California,06,CA,75+,2594859,5/24/2025,15.18,393807
California,06,CA,75+,2594859,5/31/2025,15.18,393807
Colorado,08,CO,60-74 high-risk,454315,8/3/2024,0.00,0
Colorado,08,CO,60-74 high-risk,454315,8/10/2024,0.00,0
Colorado,08,CO,60-74 high-risk,454315,8/17/2024,0.00,0
Colorado,08,CO,60-74 high-risk,454315,8/24/2024,0.00,0
Colorado,08,CO,60-74 high-risk,454315,8/31/2024,0.00,0
Colorado,08,CO,60-74 high-risk,454315,9/7/2024,0.03,121
Colorado,08,CO,60-74 high-risk,454315,9/14/2024,0.29,1338
Colorado,08,CO,60-74 high-risk,454315,9/21/2024,0.66,2986
Colorado,08,CO,60-74 high-risk,454315,9/28/2024,1.13,5141
Colorado,08,CO,60-74 high-risk,454315,10/5/2024,1.73,7850
Colorado,08,CO,60-74 high-risk,454315,10/12/2024,2.45,11121
Colorado,08,CO,60-74 high-risk,454315,10/19/2024,3.28,14919
Colorado,08,CO,60-74 high-risk,454315,10/26/2024,4.22,19172
Colorado,08,CO,60-74 high-risk,454315,11/2/2024,5.23,23772
Colorado,08,CO,60-74 high-risk,454315,11/9/2024,6.29,28577
Colorado,08,CO,60-74 high-risk,454315,11/16/2024,7.36,33418
Colorado,08,CO,60-74 high-risk,454315,11/23/2024,8.39,38119
Colorado,08,CO,60-74 high-risk,454315,11/30/2024,9.36,42523
Colorado,08,CO,60-74 high-risk,454315,12/7/2024,10.24,46517
Colorado,08,CO,60-74 high-risk,454315,12/14/2024,11.01,50034
Colorado,08,CO,60-74 high-risk,454315,12/21/2024,11.68,53051
Colorado,08,CO,60-74 high-risk,454315,12/28/2024,12.23,55580
Colorado,08,CO,60-74 high-risk,454315,1/4/2025,12.69,57658
Colorado,08,CO,60-74 high-risk,454315,1/11/2025,13.06,59338
Colorado,08,CO,60-74 high-risk,454315,1/18/2025,13.36,60686
Colorado,08,CO,60-74 high-risk,454315,1/25/2025,13.60,61768
Colorado,08,CO,60-74 high-risk,454315,2/1/2025,13.79,62647
Colorado,08,CO,60-74 high-risk,454315,2/8/2025,13.95,63380
