"Geography","age_group","date","cum_cov_percent","cov_source","Season","pop","cum_cov_doses"
"California","50-59 years (high risk)",2025-08-23,0,"Projected","2025-26",985888,0
"California","50-59 years (high risk)",2025-08-30,1.26108621225424,"Projected","2025-26",985888,12433
"California","50-59 years (high risk)",2025-09-06,2.50608031792735,"Projected","2025-26",985888,24707
"California","50-59 years (high risk)",2025-09-13,3.73234399101746,"Projected","2025-26",985888,36797
"California","50-59 years (high risk)",2025-09-20,4.9372389055227,"Projected","2025-26",985888,48676
"California","50-59 years (high risk)",2025-09-27,6.1181267354412,"Projected","2025-26",985888,60318
"California","50-59 years (high risk)",2025-10-04,7.27236915477109,"Projected","2025-26",985888,71697
"California","50-59 years (high risk)",2025-10-11,8.39732783751051,"Projected","2025-26",985888,82788
"California","50-59 years (high risk)",2025-10-18,9.49036445765759,"Projected","2025-26",985888,93564
"California","50-59 years (high risk)",2025-10-25,10.5488406892105,"Projected","2025-26",985888,104000
"California","50-59 years (high risk)",2025-11-01,11.5701182061673,"Projected","2025-26",985888,114068
"California","50-59 years (high risk)",2025-11-08,12.5515586825261,"Projected","2025-26",985888,123744
"California","50-59 years (high risk)",2025-11-15,13.4905237922851,"Projected","2025-26",985888,133001
"California","50-59 years (high risk)",2025-11-22,14.3843752094425,"Projected","2025-26",985888,141814
"California","50-59 years (high risk)",2025-11-29,15.2304746079963,"Projected","2025-26",985888,150155
"California","50-59 years (high risk)",2025-12-06,16.0261836619447,"Projected","2025-26",985888,158000
"California","50-59 years (high risk)",2025-12-13,16.7688640452858,"Projected","2025-26",985888,165322
"California","50-59 years (high risk)",2025-12-20,17.4558774320177,"Projected","2025-26",985888,172095
"California","50-59 years (high risk)",2025-12-27,18.0845854961386,"Projected","2025-26",985888,178294
"California","50-59 years (high risk)",2026-01-03,18.6523499116467,"Projected","2025-26",985888,183891
"California","50-59 years (high risk)",2026-01-10,19.1877843415683,"Projected","2025-26",985888,189170
"California","50-59 years (high risk)",2026-01-17,19.7199494380459,"Projected","2025-26",985888,194417
"California","50-59 years (high risk)",2026-01-24,20.2468773587518,"Projected","2025-26",985888,199612
"California","50-59 years (high risk)",2026-01-31,20.766600261358,"Projected","2025-26",985888,204735
"California","50-59 years (high risk)",2026-02-07,21.2771503035367,"Projected","2025-26",985888,209769
"California","50-59 years (high risk)",2026-02-14,21.7765596429602,"Projected","2025-26",985888,214692
"California","50-59 years (high risk)",2026-02-21,22.2628604373004,"Projected","2025-26",985888,219487
"California","50-59 years (high risk)",2026-02-28,22.7340848442297,"Projected","2025-26",985888,224133
"California","50-59 years (high risk)",2026-03-07,23.1882650214202,"Projected","2025-26",985888,228610
"California","50-59 years (high risk)",2026-03-14,23.623433126544,"Projected","2025-26",985888,232901
"California","50-59 years (high risk)",2026-03-21,24.0376213172732,"Projected","2025-26",985888,236984
"California","50-59 years (high risk)",2026-03-28,24.4288617512801,"Projected","2025-26",985888,240841
"California","50-59 years (high risk)",2026-04-04,24.7951865862369,"Projected","2025-26",985888,244453
"California","50-59 years (high risk)",2026-04-11,25.1346279798156,"Projected","2025-26",985888,247799
"California","50-59 years (high risk)",2026-04-18,25.4452180896884,"Projected","2025-26",985888,250861
"California","50-59 years (high risk)",2026-04-25,25.7249890735275,"Projected","2025-26",985888,253620
"California","50-59 years (high risk)",2026-05-02,25.9719730890051,"Projected","2025-26",985888,256055
"California","50-59 years (high risk)",2026-05-09,26.1842022937932,"Projected","2025-26",985888,258147
"California","50-59 years (high risk)",2026-05-16,26.3597088455642,"Projected","2025-26",985888,259877
"California","50-59 years (high risk)",2026-05-23,26.4965249019901,"Projected","2025-26",985888,261226
"California","50-59 years (high risk)",2026-05-30,26.592682620743,"Projected","2025-26",985888,262174
"California","50-59 years (high risk)",2026-06-06,26.6462141594953,"Projected","2025-26",985888,262702
"California","60-74 years (high risk)",2024-08-24,21.8858339763038,"NIS","2024-25",2931240,641526
"California","60-74 years (high risk)",2024-08-31,22.7347150343847,"NIS","2024-25",2931240,666409
"California","60-74 years (high risk)",2024-09-07,23.5820317967974,"NIS","2024-25",2931240,691246
"California","60-74 years (high risk)",2024-09-14,24.4251808367183,"NIS","2024-25",2931240,715961
"California","60-74 years (high risk)",2024-09-21,25.2602281398167,"NIS","2024-25",2931240,740438
"California","60-74 years (high risk)",2024-09-28,26.0822134945958,"NIS","2024-25",2931240,764532
"California","60-74 years (high risk)",2024-10-05,26.8872372983528,"NIS","2024-25",2931240,788129
"California","60-74 years (high risk)",2024-10-12,27.6726005427112,"NIS","2024-25",2931240,811150
"California","60-74 years (high risk)",2024-10-19,28.4363141291461,"NIS","2024-25",2931240,833537
"California","60-74 years (high risk)",2024-10-26,29.1766420520144,"NIS","2024-25",2931240,855237
"California","60-74 years (high risk)",2024-11-02,29.8917238812911,"NIS","2024-25",2931240,876198
"California","60-74 years (high risk)",2024-11-09,30.5793940716834,"NIS","2024-25",2931240,896355
"California","60-74 years (high risk)",2024-11-16,31.2377856010955,"NIS","2024-25",2931240,915654
"California","60-74 years (high risk)",2024-11-23,31.8653420795983,"NIS","2024-25",2931240,934050
"California","60-74 years (high risk)",2024-11-30,32.460518496135,"NIS","2024-25",2931240,951496
"California","60-74 years (high risk)",2024-12-07,33.0214172622565,"NIS","2024-25",2931240,967937
"California","60-74 years (high risk)",2024-12-14,33.5457692179484,"NIS","2024-25",2931240,983307
"California","60-74 years (high risk)",2024-12-21,34.031967283596,"NIS","2024-25",2931240,997559
"California","60-74 years (high risk)",2024-12-28,34.4792223107907,"NIS","2024-25",2931240,1010669
"California","60-74 years (high risk)",2025-01-04,34.887798782224,"NIS","2024-25",2931240,1022645
"California","60-74 years (high risk)",2025-01-11,35.2588746511341,"NIS","2024-25",2931240,1033522
"California","60-74 years (high risk)",2025-01-18,35.5942945694068,"NIS","2024-25",2931240,1043354
"California","60-74 years (high risk)",2025-01-25,35.8963535261477,"NIS","2024-25",2931240,1052208
"California","60-74 years (high risk)",2025-02-01,36.1676217643604,"NIS","2024-25",2931240,1060160
"California","60-74 years (high risk)",2025-02-08,36.4108965623231,"NIS","2024-25",2931240,1067291
"California","60-74 years (high risk)",2025-02-15,36.6291727703005,"NIS","2024-25",2931240,1073689
"California","60-74 years (high risk)",2025-02-22,36.8255224688169,"NIS","2024-25",2931240,1079444
"California","60-74 years (high risk)",2025-03-01,37.0029697950268,"NIS","2024-25",2931240,1084646
"California","60-74 years (high risk)",2025-03-08,37.1644301971431,"NIS","2024-25",2931240,1089379
"California","60-74 years (high risk)",2025-03-15,37.3127797861368,"NIS","2024-25",2931240,1093727
"California","60-74 years (high risk)",2025-03-22,37.450799990826,"NIS","2024-25",2931240,1097773
"California","60-74 years (high risk)",2025-03-29,37.5810868018105,"NIS","2024-25",2931240,1101592
"California","60-74 years (high risk)",2025-04-05,37.7059680220873,"NIS","2024-25",2931240,1105252
"California","60-74 years (high risk)",2025-04-12,37.8274334825579,"NIS","2024-25",2931240,1108813
"California","60-74 years (high risk)",2025-04-19,37.9470746362155,"NIS","2024-25",2931240,1112320
"California","60-74 years (high risk)",2025-04-26,38.0660202278504,"NIS","2024-25",2931240,1115806
"California","60-74 years (high risk)",2025-08-23,38.0660202278504,"Projected","2025-26",2931240,1115806
"California","60-74 years (high risk)",2025-08-30,38.5344236781162,"Projected","2025-26",2931240,1129536
"California","60-74 years (high risk)",2025-09-06,38.9968500602234,"Projected","2025-26",2931240,1143091
"California","60-74 years (high risk)",2025-09-13,39.452319424514,"Projected","2025-26",2931240,1156442
"California","60-74 years (high risk)",2025-09-20,39.8998518213302,"Projected","2025-26",2931240,1169560
"California","60-74 years (high risk)",2025-09-27,40.3384673010142,"Projected","2025-26",2931240,1182417
"California","60-74 years (high risk)",2025-10-04,40.7671859139082,"Projected","2025-26",2931240,1194984
"California","60-74 years (high risk)",2025-10-11,41.1850277103543,"Projected","2025-26",2931240,1207232
"California","60-74 years (high risk)",2025-10-18,41.5910127406946,"Projected","2025-26",2931240,1219132
"California","60-74 years (high risk)",2025-10-25,41.9841610552714,"Projected","2025-26",2931240,1230657
"California","60-74 years (high risk)",2025-11-01,42.3634927044268,"Projected","2025-26",2931240,1241776
"California","60-74 years (high risk)",2025-11-08,42.7280277385029,"Projected","2025-26",2931240,1252461
"California","60-74 years (high risk)",2025-11-15,43.076786207842,"Projected","2025-26",2931240,1262684
"California","60-74 years (high risk)",2025-11-22,43.4087881627862,"Projected","2025-26",2931240,1272416
"California","60-74 years (high risk)",2025-11-29,43.7230536536776,"Projected","2025-26",2931240,1281628
"California","60-74 years (high risk)",2025-12-06,44.0186027308584,"Projected","2025-26",2931240,1290291
"California","60-74 years (high risk)",2025-12-13,44.2944554446708,"Projected","2025-26",2931240,1298377
"California","60-74 years (high risk)",2025-12-20,44.549631845457,"Projected","2025-26",2931240,1305857
"California","60-74 years (high risk)",2025-12-27,44.783151983559,"Projected","2025-26",2931240,1312702
"California","60-74 years (high risk)",2026-01-03,44.9940359093191,"Projected","2025-26",2931240,1318883
"California","60-74 years (high risk)",2026-01-10,45.1929115547186,"Projected","2025-26",2931240,1324713
"California","60-74 years (high risk)",2026-01-17,45.3905728762674,"Projected","2025-26",2931240,1330507
"California","60-74 years (high risk)",2026-01-24,45.586288961101,"Projected","2025-26",2931240,1336244
