"location","date","age_group","target","value","population"
"US",2018-10-06,"0-130","rate hosp",0.1,325651278
"US",2018-10-06,"0-130","inc hosp",325.651278,325651278
"US",2018-10-13,"0-130","rate hosp",0.2,325651278
"US",2018-10-13,"0-130","inc hosp",651.302556,325651278
"US",2018-10-20,"0-130","rate hosp",0.2,325651278
"US",2018-10-20,"0-130","inc hosp",651.302556,325651278
"US",2018-10-27,"0-130","rate hosp",0.3,325651278
"US",2018-10-27,"0-130","inc hosp",976.953834,325651278
"US",2018-11-03,"0-130","rate hosp",0.3,325651278
"US",2018-11-03,"0-130","inc hosp",976.953834,325651278
"US",2018-11-10,"0-130","rate hosp",0.5,325651278
"US",2018-11-10,"0-130","inc hosp",1628.25639,325651278
"US",2018-11-17,"0-130","rate hosp",0.5,325651278
"US",2018-11-17,"0-130","inc hosp",1628.25639,325651278
"US",2018-11-24,"0-130","rate hosp",0.5,325651278
"US",2018-11-24,"0-130","inc hosp",1628.25639,325651278
"US",2018-12-01,"0-130","rate hosp",0.9,325651278
"US",2018-12-01,"0-130","inc hosp",2930.861502,325651278
"US",2018-12-08,"0-130","rate hosp",0.9,325651278
"US",2018-12-08,"0-130","inc hosp",2930.861502,325651278
"US",2018-12-15,"0-130","rate hosp",1.1,325651278
"US",2018-12-15,"0-130","inc hosp",3582.164058,325651278
"US",2018-12-22,"0-130","rate hosp",1.4,325651278
"US",2018-12-22,"0-130","inc hosp",4559.117892,325651278
"US",2018-12-29,"0-130","rate hosp",1.7,325651278
"US",2018-12-29,"0-130","inc hosp",5536.071726,325651278
"US",2019-01-05,"0-130","rate hosp",1.8,327143032
"US",2019-01-05,"0-130","inc hosp",5888.574576,327143032
"US",2019-01-12,"0-130","rate hosp",1.7,327143032
"US",2019-01-12,"0-130","inc hosp",5561.431544,327143032
"US",2019-01-19,"0-130","rate hosp",1.4,327143032
"US",2019-01-19,"0-130","inc hosp",4580.002448,327143032
"US",2019-01-26,"0-130","rate hosp",1.3,327143032
"US",2019-01-26,"0-130","inc hosp",4252.859416,327143032
"US",2019-02-02,"0-130","rate hosp",1.5,327143032
"US",2019-02-02,"0-130","inc hosp",4907.14548,327143032
"US",2019-02-09,"0-130","rate hosp",1.4,327143032
"US",2019-02-09,"0-130","inc hosp",4580.002448,327143032
"US",2019-02-16,"0-130","rate hosp",1.2,327143032
"US",2019-02-16,"0-130","inc hosp",3925.716384,327143032
"US",2019-02-23,"0-130","rate hosp",1.2,327143032
"US",2019-02-23,"0-130","inc hosp",3925.716384,327143032
"US",2019-03-02,"0-130","rate hosp",1.1,327143032
"US",2019-03-02,"0-130","inc hosp",3598.573352,327143032
"US",2019-03-09,"0-130","rate hosp",0.8,327143032
"US",2019-03-09,"0-130","inc hosp",2617.144256,327143032
"US",2019-03-16,"0-130","rate hosp",0.7,327143032
"US",2019-03-16,"0-130","inc hosp",2290.001224,327143032
"US",2019-03-23,"0-130","rate hosp",0.7,327143032
"US",2019-03-23,"0-130","inc hosp",2290.001224,327143032
"US",2019-03-30,"0-130","rate hosp",0.5,327143032
"US",2019-03-30,"0-130","inc hosp",1635.71516,327143032
"US",2019-04-06,"0-130","rate hosp",0.4,327143032
"US",2019-04-06,"0-130","inc hosp",1308.572128,327143032
"US",2019-04-13,"0-130","rate hosp",0.3,327143032
"US",2019-04-13,"0-130","inc hosp",981.429096,327143032
"US",2019-04-20,"0-130","rate hosp",0.3,327143032
"US",2019-04-20,"0-130","inc hosp",981.429096,327143032
"US",2019-04-27,"0-130","rate hosp",0.1,327143032
"US",2019-04-27,"0-130","inc hosp",327.143032,327143032
"US",2019-05-04,"0-130","rate hosp",0.1,327143032
"US",2019-05-04,"0-130","inc hosp",327.143032,327143032
"US",2019-10-05,"0-130","rate hosp",0.1,327143032
"US",2019-10-05,"0-130","inc hosp",327.143032,327143032
"US",2019-10-12,"0-130","rate hosp",0.2,327143032
"US",2019-10-12,"0-130","inc hosp",654.286064,327143032
"US",2019-10-19,"0-130","rate hosp",0.3,327143032
"US",2019-10-19,"0-130","inc hosp",981.429096,327143032
"US",2019-10-26,"0-130","rate hosp",0.3,327143032
"US",2019-10-26,"0-130","inc hosp",981.429096,327143032
"US",2019-11-02,"0-130","rate hosp",0.4,327143032
"US",2019-11-02,"0-130","inc hosp",1308.572128,327143032
"US",2019-11-09,"0-130","rate hosp",0.6,327143032
"US",2019-11-09,"0-130","inc hosp",1962.858192,327143032
"US",2019-11-16,"0-130","rate hosp",0.8,327143032
"US",2019-11-16,"0-130","inc hosp",2617.144256,327143032
"US",2019-11-23,"0-130","rate hosp",0.9,327143032
"US",2019-11-23,"0-130","inc hosp",2944.287288,327143032
"US",2019-11-30,"0-130","rate hosp",1.1,327143032
"US",2019-11-30,"0-130","inc hosp",3598.573352,327143032
"US",2019-12-07,"0-130","rate hosp",1.8,327143032
"US",2019-12-07,"0-130","inc hosp",5888.574576,327143032
"US",2019-12-14,"0-130","rate hosp",1.8,327143032
