"date","location","age_group","target","observation"
2023-09-30,"49","0.5-0.99","inc hosp",0
2023-09-23,"49","0.5-0.99","inc hosp",0
2023-09-16,"49","0.5-0.99","inc hosp",3.034135
2023-09-09,"49","0.5-0.99","inc hosp",0
2023-09-02,"49","0.5-0.99","inc hosp",3.034135
2023-08-26,"49","0.5-0.99","inc hosp",0
2023-08-19,"49","0.5-0.99","inc hosp",3.034135
2023-08-12,"49","0.5-0.99","inc hosp",0
2023-08-05,"49","0.5-0.99","inc hosp",0
2023-07-29,"49","0.5-0.99","inc hosp",0
2023-07-22,"49","0.5-0.99","inc hosp",0
2023-07-15,"49","0.5-0.99","inc hosp",0
2023-07-08,"49","0.5-0.99","inc hosp",0
2023-07-01,"49","0.5-0.99","inc hosp",0
2023-06-24,"49","0.5-0.99","inc hosp",0
2023-06-17,"49","0.5-0.99","inc hosp",3.034135
2023-06-10,"49","0.5-0.99","inc hosp",0
2023-06-03,"49","0.5-0.99","inc hosp",0
2023-05-27,"49","0.5-0.99","inc hosp",0
2023-05-20,"49","0.5-0.99","inc hosp",0
2023-05-13,"49","0.5-0.99","inc hosp",0
2023-05-06,"49","0.5-0.99","inc hosp",0
2023-04-29,"49","0.5-0.99","inc hosp",0
2023-04-22,"49","0.5-0.99","inc hosp",0
2023-04-15,"49","0.5-0.99","inc hosp",0
2023-04-08,"49","0.5-0.99","inc hosp",0
2023-04-01,"49","0.5-0.99","inc hosp",0
2023-03-25,"49","0.5-0.99","inc hosp",6.06827
2023-03-18,"49","0.5-0.99","inc hosp",0
2023-03-11,"49","0.5-0.99","inc hosp",0
2023-03-04,"49","0.5-0.99","inc hosp",3.034135
2023-02-25,"49","0.5-0.99","inc hosp",0
2023-02-18,"49","0.5-0.99","inc hosp",3.034135
2023-02-11,"49","0.5-0.99","inc hosp",0
2023-02-04,"49","0.5-0.99","inc hosp",3.034135
2023-01-28,"49","0.5-0.99","inc hosp",6.06827
2023-01-21,"49","0.5-0.99","inc hosp",6.06827
2023-01-14,"49","0.5-0.99","inc hosp",9.102405
2023-01-07,"49","0.5-0.99","inc hosp",6.06827
2022-12-31,"49","0.5-0.99","inc hosp",18.20481
2022-12-24,"49","0.5-0.99","inc hosp",3.034135
2022-12-17,"49","0.5-0.99","inc hosp",33.3521455
2022-12-10,"49","0.5-0.99","inc hosp",42.4545505
2022-12-03,"49","0.5-0.99","inc hosp",36.3862805
